"TERM : 1202","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Fall 2019-2020","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BIOMOLECULAR CHEMISTRY","","Section
#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"758","BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","","",""
"758","BMOLCHEM","139
Dept. Total","3.874","53.2","3.6","4.3","",".","",".","",".","",".","32.4","",".",".","",".","6.5","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"758","BMOLCHEM","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Sophomore","4","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
