"ANATOMY & PHYSIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"146
ANAT&PHY","","","","","","","","","","","","","","","","","","",""
"Human Physiology and Health","235
001","87","3.099","25.3","23.0","17.2","21.8","8.0","2.3","1.1","1.1",".",".",".",".",".",".",".","."
"Physiology","335
001","501","2.835","23.6","11.8","25.1","11.0","17.6","7.8","2.4",".","0.2",".",".",".","0.6",".",".","."
"","337
001","94","3.533","53.2","23.4","9.6","2.1","7.4","2.1",".","1.1",".",".",".",".","1.1",".",".","."
"","002
337","96","3.446","51.0","18.8","10.4","6.3","4.2","5.2",".","3.1",".",".",".",".","1.0",".",".","."
"","003
337","84","2.768","16.7","15.5","25.0","19.0","11.9","9.5","2.4",".",".",".",".",".",".",".",".","."
"","337
004","80","2.750","16.3","17.5","17.5","15.0","26.3","6.3","1.3",".",".",".",".",".",".",".",".","."
"Human Anatomy","Course Total","354","3.145","35.6","18.9","15.3","10.2","11.9","5.6","0.8","1.1",".",".",".",".","0.6",".",".","."
"","001
338","24","3.396","33.3","37.5","12.5","8.3","8.3",".",".",".",".",".",".",".",".",".",".","."
"","002
338","26","3.385","26.9","30.8","34.6","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","338
003","21","3.095","19.0","28.6","19.0","28.6",".","4.8",".",".",".",".",".",".",".",".",".","."
"","338
004","21","2.833","9.5","19.0","33.3","23.8","4.8","9.5",".",".",".",".",".",".",".",".",".","."
"","338
005","22","2.795","27.3","13.6","9.1","18.2","18.2","13.6",".",".",".",".",".",".",".",".",".","."
"","338
006","25","3.220","36.0","24.0","20.0","12.0",".","4.0","4.0",".",".",".",".",".",".",".",".","."
"","338
007","22","3.045","36.4","18.2","13.6","9.1","13.6","4.5","4.5",".",".",".",".",".",".",".",".","."
"","338
008","21","3.310","38.1","14.3","28.6","9.5","9.5",".",".",".",".",".",".",".",".",".",".","."
"Human Anatomy Laboratory","Course Total","182","3.146","28.6","23.6","21.4","14.3","6.6","4.4","1.1",".",".",".",".",".",".",".",".","."
"","399
001","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
006","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"ANAT&PHY
146","Dept. Total","1152","2.968","30.0","16.4","20.3","11.8","12.9","6.0","1.6","0.4","0.1",".",".",".","0.4",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"146
ANAT&PHY","","","","","","","","","","","","","","","","","","",""
"Freshmen","","40","3.063","17.5","25.0","22.5","27.5","5.0","2.5",".",".",".",".",".",".",".",".",".","."
"Sophomore","","163","2.767","19.0","14.7","20.9","16.0","16.0","11.0","1.8",".",".",".",".",".","0.6",".",".","."
"Junior","","293","2.854","26.6","15.4","21.8","10.6","16.4","6.1","2.7",".",".",".",".",".","0.3",".",".","."
"Senior","","559","3.113","37.6","17.5","18.6","9.8","9.5","5.0","1.3",".","0.2",".",".",".","0.5",".",".","."
"Undergraduates","","1055","2.981","30.9","16.8","20.0","11.7","12.2","6.2","1.7",".","0.1",".",".",".","0.5",".",".","."
"Special","","30","3.051","40.0","10.0","10.0","10.0","10.0","6.7",".","13.3",".",".",".",".",".",".",".","."
"Graduate","","7","3.288","28.6","28.6",".","14.3","14.3",".",".","14.3",".",".",".",".",".",".",".","."
"Prof Yr 1","","60","2.750","10.0","11.7","33.3","15.0","26.7","3.3",".",".",".",".",".",".",".",".",".","."
"Professionals","","60","2.750","10.0","11.7","33.3","15.0","26.7","3.3",".",".",".",".",".",".",".",".",".","."
"","Dept. Total","1152","2.968","30.0","16.4","20.3","11.8","12.9","6.0","1.6","0.4","0.1",".",".",".","0.4",".",".","."
