"INDUSTRIAL & SYSTEMS ENGR","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"490
I SY E","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Engineerng Economc Analysis","313","001","133","3.338","32.3","30.1","21.1","6.0","10.5",".",".",".",".",".",".",".",".",".",".","."
"Production Planning&Control","315","001","77","3.740","64.9","24.7","5.2","3.9","1.3",".",".",".",".",".",".",".",".",".",".","."
"Simulatn&Probablstc Modelng","320","001","58","3.457","31.0","39.7","20.7","6.9","1.7",".",".",".",".",".",".",".",".",".",".","."
"","321","001","26","3.404","23.1","46.2","19.2","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"","321","002","21","3.452","33.3","33.3","28.6",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"","321","003","11","3.591","45.5","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Simulation Modeling Lab","","Course Total","58","3.457","31.0","39.7","20.7","6.9","1.7",".",".",".",".",".",".",".",".",".",".","."
"Oper Rsch-Determnstc Modelg","323","001","62","3.153","29.0","19.4","25.8","11.3","11.3","3.2",".",".",".",".",".",".",".",".",".","."
"","348","001","17","3.941","94.1",".","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","003","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","348","004","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering Lab","","Course Total","76","3.987","98.7",".","1.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Human Factors","349","001","118","3.958","92.4","6.8","0.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Junior Design Laboratory","350","001","39","3.949","89.7","10.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Industrial Data Analytics","412","001","57","3.816","82.5","5.3","5.3","7.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Manufac Sys,Dsgn&Anal","415","001","76","3.289","10.5","51.3","30.3","3.9","2.6","1.3",".",".",".",".",".",".",".",".",".","."
"Health Systems Engineering","417","001","52","3.548","59.6","13.5","11.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Senior Design Project","450","001","54","3.833","70.4","25.9","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Facilities Planning","510","001","25","3.740","60.0","28.0","12.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Inspectn,Qual Cntrl&Relblty","512","001","54","3.778","79.6","7.4","7.4",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"Engr Mgt-Cont Proc Imprvmnt","515","001","59","3.983","96.6","3.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Optimization","524","001","19","3.211","47.4","5.3","15.8","15.8","10.5","5.3",".",".",".",".",".",".",".",".",".","."
"Linear Optimization","525","001","13","3.615","69.2","15.4","7.7",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Human Factors Engineering","549","001","39","3.987","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","002","30","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","006","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601","007","33","3.439","24.2","45.5","27.3",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics Industrial Engr","","Course Total","74","3.689","58.1","24.3","16.2",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"Cmptr Integratd Manufactrng","605","001","17","3.824","82.4","5.9","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Safety & Quality-Med Use Sys","608","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Stochastic Modeling Tech","624","001","20","3.650","60.0","15.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","632","002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","632","003","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Stochastic Processes","","Course Total","6","3.167","33.3","16.7","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"Design & Anal-Manufact Sys","641","003","15","3.333","13.3","53.3","20.0","13.3",".",".",".",".",".",".",".",".",".",".",".","."
"Engineering Supply Chains","645","001","24","3.729","50.0","45.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization and Job Design","653","001","21","3.667","61.9","19.0","9.5","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 136 of 420",""
