"","FOREST AND WILDLIFE ECOLOGSection","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"Orientation to Wildlfe Ecology","101","001","28","3.768","75.0","10.7","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Living with Wildlife","110","001","182","2.852","15.9","18.7","24.7","14.8","18.1","3.8","2.2","1.1",".",".",".",".",".","0.5",".","."
"","248","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","248","002","8","3.563","50.0","37.5",".",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Resources & Society","","Course Total","12","3.375","58.3","25.0",".",".","8.3",".","8.3",".",".",".",".",".",".",".",".","."
"","299","003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","026","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","044","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","052","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles-Wildlife Ecology","318","001","39","3.189","28.2","28.2","7.7","12.8","17.9",".",".","5.1",".",".",".",".",".",".",".","."
"Extinction of Species","360","001","57","3.436","40.4","31.6","15.8","3.5",".","3.5","1.8","1.8",".",".",".",".","1.8",".",".","."
"Special Topics","375","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Physiologicl Animal Ecology","401","001","43","2.976","16.3","23.3","20.9","23.3","9.3","4.7",".",".",".",".",".",".",".","2.3",".","."
"Dendrology","402","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Tree Physiology","415","001","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"The Vegetation of Wisconsin","455","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"General Ecology","460","001","15","3.233","26.7","26.7","20.0","20.0","6.7",".",".",".",".",".",".",".",".",".",".","."
"Diseases of Wildlife","548","001","60","3.000","20.0","23.3","23.3","3.3","26.7","1.7",".","1.7",".",".",".",".",".",".",".","."
"","550","001","21","3.643","71.4","14.3","9.5",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","550","002","14","3.571","50.0","21.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Forest Ecology","","Course Total","35","3.614","62.9","17.1","14.3","2.9",".",".","2.9",".",".",".",".",".",".",".",".","."
"Forest Ecology Lab","551","002","8","3.750","75.0",".","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wildlife Management Tech","561","001","20","3.368","25.0","30.0","30.0","10.0",".",".",".","5.0",".",".",".",".",".",".",".","."
"","571","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","571","002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Stat Meth for Bioscience I","","Course Total","7","3.214","57.1","14.3","14.3",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Complex Conservation of Deer","577","001","14","2.536","14.3",".","50.0","7.1","7.1","14.3","7.1",".",".",".",".",".",".",".",".","."
"Integrated Resource Mgmt","590","001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ecotox: The Chemical Players","632","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecotox: Impacts on Individuals","633","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ecotox: Populatn, Comm, Ecosys","634","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Conservation Biology","651","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Climate Change Ecology","660","001","25","3.479","24.0","48.0","20.0","4.0",".",".",".","4.0",".",".",".",".",".",".",".","."
"","675","001","18","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675","003","11","3.818","81.8",".","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Develop-Forest/Wildlife","","Course Total","29","3.914","89.7","3.4","6.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","044","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","052","2","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","","Page 24 of 420"
