"Topic in Asian American Lit","462
001","18","3.889","77.8","22.2",".",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"Asian American Poetry","465
001","18","3.750","61.1","27.8","11.1",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"","560
001","12","3.625","58.3","8.3","33.3",".",".",".",".",".","",".","",".",".","",".","",".",".",".","."
"","560
002","22","3.682","68.2","18.2","4.5",".","9.1",".",".",".","",".","",".",".","",".","",".",".",".","."
"Humanities Topics","Course Total","34","3.662","64.7","14.7","14.7",".","5.9",".",".","",".","",".",".","",".","",".",".",".",".","."
"ASIAN AM
184","Dept. Total","513","3.668","60.2","18.5","13.6","1.9","1.6","0.4","0.8","",".","",".",".","",".","",".","2.7",".","0.2","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"184
ASIAN AM","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","79","3.719","67.1","17.7","11.4","1.3","1.3",".","1.3","",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","173","3.681","63.0","17.3","11.6","2.3","1.2","0.6","1.2","",".","",".",".","",".","",".","2.9",".",".","."
"Junior","","133","3.665","57.9","21.1","15.0","0.8","0.8","0.8","0.8","",".","",".",".","",".","",".","3.0",".",".","."
"Senior","","124","3.605","54.0","18.5","16.9","3.2","3.2",".",".","",".","",".",".","",".","",".","4.0",".",".","."
"Undergraduates","","509","3.666","60.1","18.7","13.8","2.0","1.6","0.4","0.8","",".","",".",".","",".","",".","2.8",".",".","."
"Special","","1","***","","","","","","","","","","","",".","",".","",".",".",".","100.0","."
"Graduate","","3","***","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","513","3.668","60.2","18.5","13.6","1.9","1.6","0.4","0.8","",".","",".",".","",".","",".","2.7",".","0.2","."
