"L&S","","","","","","","","","","","","","","","","","","","","",""
"MATHEMATICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"MATH
600","Dept. Total","9297","2.974","29.8","11.8","25.7","9.5","14.2","5.1","2.4","0.4","",".","0.0","",".","0.1","0.5","0.0","0.3","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","3494","2.948","26.3","10.4","30.0","9.6","16.5","4.7","1.9",".","",".",".","",".",".","0.6","0.0",".","0.1"
"Sophomore","","2604","2.995","30.3","11.7","27.6","9.5","13.2","4.6","2.4","0.1","",".",".","",".",".","0.4",".",".","0.1"
"Junior","","1396","2.847","25.6","13.3","23.9","12.2","14.3","6.5","3.5","0.1","",".",".","",".",".","0.4","0.1",".","."
"Senior","","1130","2.818","26.8","14.2","19.4","9.7","17.0","8.2","3.7","0.1","",".","0.1","",".","0.1","0.4",".",".","0.2"
"Undergraduates","","8624","2.935","27.5","11.8","26.9","10.0","15.2","5.4","2.6","0.0","",".","0.0","",".","0.0","0.5","0.0",".","0.1"
"Special","","240","3.597","58.3","15.4","16.3","5.0","1.7","0.8","0.4","2.1","",".",".","",".",".",".",".",".","."
"Graduate","","432","3.759","61.3","11.6","6.5","2.8","0.9",".","0.2","6.7","",".",".","",".","2.8","0.7",".","6.5","."
"Prof Yr 4","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"Professionals","","1","***","","","","","","","","","","",".","",".",".",".",".",".","."
"","Dept. Total","9297","2.974","29.8","11.8","25.7","9.5","14.2","5.1","2.4","0.4","",".","0.0","",".","0.1","0.5","0.0","0.3","0.1"
