"NUTRITIONAL SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"694
NUTR SCI","","","","","","","","","","","","","","","","","","","",""
"","132","001","259","2.922","12.7","17.8","38.2","9.3","19.3","1.5","0.8",".",".",".",".",".",".","0.4",".","."
"","132","002","269","2.868","14.9","18.6","28.3","9.3","25.7","3.0","0.4",".",".",".",".",".",".",".",".","."
"","132","003","190","2.912","13.7","21.1","27.9","16.3","15.3","4.7",".",".",".",".",".",".","0.5","0.5",".","."
"Nutrition Today","","Course Total","718","2.899","13.8","18.9","31.8","11.1","20.6","2.9","0.4",".",".",".",".",".","0.1","0.3",".","."
"Prof-Dietetics & Nutrition","200","001","35","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Introduction to Global Health","203","001","386","3.819","78.0","11.9","7.5","0.8","0.5","0.8",".",".",".",".",".",".","0.3",".","0.3","."
"","299","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","065","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","5","***","","","","","","","","","","","","","","","",""
"Human Nutritional Needs","332","001","101","3.030","25.7","27.7","15.8","11.9","9.9","5.9","3.0",".",".",".",".",".",".",".",".","."
"","375","001","17","3.667","41.2","35.3","11.8",".",".",".",".",".",".",".",".",".","5.9",".","5.9","."
"","375","002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","375","004","11","3.900","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","","Course Total","47","3.870","74.5","17.0","4.3",".",".",".",".",".",".",".",".",".","2.1",".","2.1","."
"Coord Intrnshp/Cooprtv Educ","399","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Health Field Experience","421","001","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Capstone Seminar Lab","500","001","21","3.725","66.7","14.3","9.5",".","4.8",".",".",".",".",".",".",".","4.8",".",".","."
"Biochm Prin-Human&Anml Nutr","510","001","19","3.158","36.8","21.1","15.8",".","21.1","5.3",".",".",".",".",".",".",".",".",".","."
"Applications-Clin Nutrition","520","001","12","3.364","8.3","50.0","33.3",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Experimental Diet Design","626","001","10","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Nutrition I","631","001","37","3.271","18.9","37.8","18.9","13.5","5.4",".",".","2.7",".",".",".",".","2.7",".",".","."
"Adv Clin Nutr: Crit Care Nutr","650","001","30","3.500","40.0","40.0","16.7",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Nutr & Dietetics Practicum I","670","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis-Nutrition","691","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","008","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","012","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","073","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","080","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","089","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","15","4.000","93.3",".",".",".",".",".",".","6.7",".",".",".",".",".",".",".","."
"Human Energy Metabolism","710","002","31","3.700","58.1","19.4","19.4",".",".",".",".",".",".",".",".",".","3.2",".",".","."
"Pers Nutr-Genomics & Genetics","711","001","30","3.817","90.0","3.3","3.3",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Advanced Nutrition Assessment","720","001","31","3.629","45.2","41.9","9.7",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","875","001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Nutr&Metabolism (Adv)","901","001","17","3.875","52.9","17.6",".",".",".",".",".","29.4",".",".",".",".",".",".",".","."
"Seminar-Nutrition","931","001","29","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","991","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
