"","990
294","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
297","2","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"","990
298","1","***","","","","","","","","","","","","","","",".",".","",".","",".",".",".","."
"Research","Course Total","21","",".",".","",".",".","",".","",".","",".","71.4","",".",".","",".","23.8","",".",".","4.8","."
"MEDICINE
632","Dept. Total","228","3.996","84.6","0.9","",".",".","",".","",".","",".","11.4","",".",".","",".","2.2","",".",".","0.9","."
"Summary by Level","","#","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Sophomore","","13","3.980","84.6","7.7","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".","7.7","."
"Junior","","42","3.985","97.6","2.4","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Senior","","62","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","","118","3.993","97.5","1.7","",".",".","",".","",".","",".",".","",".",".","",".",".","",".",".","0.8","."
"Graduate","","20","4.000","5.0",".","",".",".","",".","",".","",".","70.0","",".",".","",".","20.0","",".",".","5.0","."
"Prof Yr 1","","1","***","","","","","","","","","","","","","","",".","",".",".","",".",".",".","."
"Prof Yr 2","","10","",".",".","",".",".","",".","",".","",".","90.0","",".",".","",".","10.0","",".",".",".","."
"Prof Yr 3","","12","4.000","91.7",".","",".",".","",".","",".","",".","8.3","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","","68","4.000","98.5",".","",".",".","",".","",".","",".","1.5","",".",".","",".",".","",".",".",".","."
"Professionals","","91","4.000","85.7",".","",".",".","",".","",".","",".","13.2","",".",".","",".","1.1","",".",".",".","."
"","Dept. Total","229","3.996","84.7","0.9","",".",".","",".","",".","",".","11.4","",".",".","",".","2.2","",".",".","0.9","."
