"ENGR MECHANICS & ASTRONAUSection","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","","",""
"790","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"790","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research and Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"890","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"890","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"890","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"890","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pre-Dissertator Research","Course Total","","10","",".",".",".",".",".",".",".","80.0",".",".",".","20.0",".",".",".","."
"990
Research and Thesis","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"E M A
346","Dept. Total","","1006","3.102","28.0","21.3","23.6","12.7","7.2","4.6","0.8","1.3",".",".",".","0.3","0.1","0.1","0.1","."
