"AMERICAN INDIAN STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","",""
"Intro-Amer Indian Studies","100
001","148","3.497","45.9","25.0","14.9","10.1","2.7","0.7",".","0.7",".",".",".",".",".",".",".","."
"","172
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
172","15","3.667","86.7",".",".",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Literatures of Native America","Course Total","36","3.861","94.4",".",".",".","2.8","2.8",".",".",".",".",".",".",".",".",".","."
"Indians of Wisconsin","250
001","40","3.895","77.5","15.0","2.5",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"IndigenousPeoples&Environment","306
001","40","3.395","55.0","20.0","5.0","5.0",".","5.0","5.0","2.5",".",".",".",".",".",".","2.5","."
"Indians of North America","314
002","32","3.333","21.9","28.1","37.5","3.1","3.1",".",".","3.1",".",".",".",".","3.1",".",".","."
"Ojibwe Language III","401
001","9","2.889","55.6",".","22.2",".",".",".","22.2",".",".",".",".",".",".",".",".","."
"Issues in Amer Ind Studies","015
450","19","3.967","73.7","5.3",".",".",".",".",".","15.8",".",".",".",".","5.3",".",".","."
"Ethnobotany","001
474","14","3.607","35.7","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"AMER IND
140","Dept. Total","338","3.566","55.0","20.1","12.1","5.3","1.8","1.2","1.2","2.4",".",".",".",".","0.6",".","0.3","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"140
AMER IND","","","","","","","","","","","","","","","","","","",""
"Freshmen","","92","3.451","42.4","21.7","22.8","8.7","2.2","1.1",".",".",".",".",".",".","1.1",".",".","."
"Sophomore","","102","3.565","52.9","25.5","8.8","6.9","2.0","1.0","1.0",".",".",".",".",".","1.0",".","1.0","."
"Junior","","79","3.576","65.8","16.5","8.9","2.5","1.3","1.3","3.8",".",".",".",".",".",".",".",".","."
"Senior","","54","3.722","70.4","16.7","7.4","1.9","1.9","1.9",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","327","3.562","56.0","20.8","12.5","5.5","1.8","1.2","1.2",".",".",".",".",".","0.6",".","0.3","."
"Special","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Graduate","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","338","3.566","55.0","20.1","12.1","5.3","1.8","1.2","1.2","2.4",".",".",".",".","0.6",".","0.3","."
