"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"CELL AND REGENERATIVE BIOL Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","","","","","","",""
"CRB
Dept. Total
217","278","3.825","68.3","17.3","5.0","0.7","",".","",".","",".","8.6","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","",""
"217
CRB","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Junior","14","3.920","85.7","14.3",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","43","3.958","95.3","4.7",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","60","3.932","91.7","6.7","1.7",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Special","3","***","","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Graduate","215","3.798","61.9","20.5","6.0","0.9","",".","",".","",".","10.7","",".",".","",".","",".","",".",".",".","."
"Dept. Total","278","3.825","68.3","17.3","5.0","0.7","",".","",".","",".","8.6","",".",".","",".","",".","",".",".",".","."
