"FOREST AND WILDLIFE ECOLOGSection","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"396
F&W ECOL","","","","","","","","","","","","","","","","","","","",""
"Special Problems","Course Total","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","001","","16","3.842","56.3","31.3",".",".",".",".",".",".",".",".",".",".","6.3",".","6.3","."
"875","002","","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","004","","10","3.643","30.0","60.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","42","3.790","54.8","35.7","4.8",".",".",".",".",".",".",".",".",".","2.4",".","2.4","."
"953
Intr. to WI Ecol.: Grad Sem","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","6","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","7","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
"990","032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","11","",".",".",".",".",".",".",".","9.1",".",".",".","90.9",".",".",".","."
"990","046","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","12","",".",".",".",".",".",".",".","25.0",".",".",".","75.0",".",".",".","."
"990","054","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","66","",".",".",".",".",".",".",".","34.8",".",".",".","65.2",".",".",".","."
