"BIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"205
BIOLOGY","","","","","","","","","","","","","","","","","","",""
"","101
001","249","2.905","30.1","4.4","30.9","6.4","19.3","6.0","2.4",".",".",".",".",".",".",".",".","0.4"
"","101
002","250","2.584","16.0","5.2","32.8","6.4","26.4","8.0","4.8",".",".",".",".",".","0.4",".",".","."
"Animal Biology","Course Total","499","2.744","23.0","4.8","31.9","6.4","22.8","7.0","3.6",".",".",".",".",".","0.2",".",".","0.2"
"","102
001","11","3.364","36.4","18.2","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
002","10","3.600","50.0","20.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
102","6","2.833","16.7","16.7","33.3","16.7",".","16.7",".",".",".",".",".",".",".",".",".","."
"","102
004","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","005
102","6","3.083","16.7","33.3","16.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
006","11","3.364","27.3","27.3","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"","102
007","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
008","7","3.357","14.3","42.9","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
102","9","3.111","22.2",".","66.7",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"","102
010","8","3.063","12.5","37.5","25.0",".","25.0",".",".",".",".",".",".",".",".",".",".","."
"","011
102","13","2.577","23.1",".","23.1","7.7","30.8","15.4",".",".",".",".",".",".",".",".",".","."
"","012
102","12","2.917","16.7","8.3","33.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".","."
"","102
013","7","3.071","28.6","14.3","28.6",".","28.6",".",".",".",".",".",".",".",".",".",".","."
"","102
014","8","3.063",".","37.5","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","015
102","12","3.208","16.7","25.0","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
016","11","3.409","45.5","18.2","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
017","11","3.273","36.4","18.2","18.2","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","102
018","16","3.313","25.0","43.8","12.5","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","102
019","10","3.450","30.0","40.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","020
102","12","3.167","41.7","16.7","8.3",".","33.3",".",".",".",".",".",".",".",".",".",".","."
"Animal Biology Laboratory","Course Total","194","3.209","27.8","23.2","27.8","8.2","11.3","1.5",".",".",".",".",".",".",".",".",".","."
"General Botany","130
001","17","3.147","35.3",".","41.2","5.9","17.6",".",".",".",".",".",".",".",".",".",".","."
"","151
001","234","3.028","21.8","12.4","37.2","9.4","17.5","0.9","0.4",".",".",".",".",".","0.4",".",".","."
"","151
002","226","3.079","25.2","8.0","42.5","8.4","11.9","1.3","0.9",".",".",".",".",".","1.3","0.4",".","."
"","151
003","130","2.846","13.1","8.5","42.3","14.6","18.5","2.3","0.8",".",".",".",".",".",".",".",".","."
"Introductory Biology","Course Total","590","3.007","21.2","9.8","40.3","10.2","15.6","1.4","0.7",".",".",".",".",".","0.7","0.2",".","."
"Introductory Biology","152
001","307","3.117","22.8","13.7","44.6","4.9","11.1","1.3","0.7",".",".",".",".",".","0.7",".",".","0.3"
"Evolution Seminar Series UG","522
001","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","682
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","691
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
