"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","700
030","41","3.537","26.8","53.7","19.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","700
050","44","3.702","38.6","56.8",".",".",".",".",".",".",".",".",".",".","4.5",".",".","."
"Marketing Management","Course Total","85","3.620","32.9","55.3","9.4",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Marketing Research","710
001","43","3.643","27.9","69.8",".",".",".",".",".",".",".",".",".",".","2.3",".",".","."
"Logistics Management","722
001","11","3.727","63.6","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","725
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Supply Chain Managemnt","726
001","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Pricing","730
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Brand Strategy","735
001","32","3.875","78.1","18.8","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","755
001","24","3.979","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
001","17","3.912","88.2","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
765","27","3.750","70.4","3.7","22.2",".",".",".",".",".",".",".",".",".",".","3.7",".","."
"","765
020","33","3.455","21.2","48.5","30.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","765
021","34","3.500","26.5","44.1","26.5",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"Contemporary Topics","Course Total","120","3.582","49.2","27.5","21.7",".",".",".",".",".",".",".",".",".","0.8","0.8",".","."
"Qual-Based Marketing Insights","805
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Marketing PhD","971
001","7","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
031","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
047","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
107","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
120","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Marketing","Course Total","10","",".",".",".",".",".",".",".","60.0",".",".",".","40.0",".",".",".","."
