"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"The Musical Experience","101
001","162","3.570","44.4","29.6","10.5","5.6","1.9",".","0.6","7.4",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","135","3.839","73.3","10.4","7.4",".",".","0.7",".","0.7",".",".",".",".",".","0.7","6.7","."
"Music & Film","107
001","41","3.483","17.1","36.6","14.6","2.4",".",".",".","29.3",".",".",".",".",".",".",".","."
"","113
001","706","3.957","94.8","3.4","0.8",".","0.8",".",".",".",".",".",".",".",".",".",".","0.1"
"","113
002","707","3.900","93.2","0.8","3.0","0.4","1.6","0.6","0.3",".",".",".",".",".",".","0.1",".","."
"","003
113","708","3.914","90.7","5.6","2.0",".","1.4","0.1","0.1",".",".",".",".",".",".",".",".","."
"Music in Performance","Course Total","2121","3.924","92.9","3.3","1.9","0.1","1.3","0.2","0.1",".",".",".",".",".",".","0.0",".","0.0"
"","121
001","28","3.321","21.4","25.0","50.0","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"","121
002","27","3.296","25.9","22.2","44.4",".","7.4",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 1","Course Total","55","3.309","23.6","23.6","47.3","1.8","3.6",".",".",".",".",".",".",".",".",".",".","."
"","151
001","38","3.824","76.3","10.5","7.9","2.6",".",".",".","2.6",".",".",".",".",".",".",".","."
"","002
151","59","3.681","67.8","16.9","5.1","5.1","1.7",".","1.7",".",".",".",".",".",".","1.7",".","."
"","151
004","20","3.850","75.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Concepts-Music Theory","Course Total","117","3.757","71.8","15.4","6.0","3.4","0.9",".","0.9","0.9",".",".",".",".",".","0.9",".","."
"","171
101","14","3.286","35.7",".","50.0","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","171
102","14","3.607","50.0","21.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
171","14","3.500","35.7","42.9","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","171
104","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 1","Course Total","55","3.482","40.0","23.6","29.1","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"Survey-Hist Western Music","001
211","45","3.422","33.3","33.3","24.4","2.2","6.7",".",".",".",".",".",".",".",".",".",".","."
"","221
001","30","3.483","23.3","50.0","20.0","3.3",".",".",".",".",".",".",".",".","3.3",".",".","."
"","221
002","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Practica 3","Course Total","44","3.558","34.1","43.2","18.2","2.3",".",".",".",".",".",".",".",".","2.3",".",".","."
"","253
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","253
002","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Conducting","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Opera","256
060","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Opera Workshop","257
045","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
050","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","262
096","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
098","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
101","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
196","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","262
198","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Jazz Ensemble","Course Total","44","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
010","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","265
019","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
032","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","265
119","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-Woodwind","Course Total","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
020","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
035","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","267
063","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
089","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","Page 283 of 420",""
