"ASIAN LANG & CULTURE: LANG Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"186
ASIALANG","","","","","","","","","","","","","","","","","","",""
"","101
001","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
002","14","3.714","64.3","21.4","7.1","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","101
003","17","3.824","76.5","11.8","11.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
101","13","3.885","84.6","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","101
005","16","3.967","87.5","6.3",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"First Semester Chinese","Course Total","72","3.852","79.2","11.1","6.9","1.4",".",".",".","1.4",".",".",".",".",".",".",".","."
"","103
001","19","3.711","68.4","5.3","26.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","103
002","23","3.739","78.3","4.3","4.3","13.0",".",".",".",".",".",".",".",".",".",".",".","."
"","103
003","21","3.175","57.1","4.8","4.8",".","14.3","14.3",".","4.8",".",".",".",".",".",".",".","."
"","103
004","22","3.500","36.4","50.0","4.5","4.5",".","4.5",".",".",".",".",".",".",".",".",".","."
"","005
103","22","3.795","72.7","22.7",".",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"","006
103","18","3.639","55.6","22.2","16.7","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"","103
007","21","3.619","61.9","19.0","14.3",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"First Semester Japanese","Course Total","146","3.600","61.6","18.5","9.6","3.4","2.7","3.4",".","0.7",".",".",".",".",".",".",".","."
"First Semester Korean","105
001","94","3.729","66.0","23.4","4.3","5.3",".","1.1",".",".",".",".",".",".",".",".",".","."
"Elementary Chinese II","111
001","16","3.781","56.3","43.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","114
001","23","3.696","73.9","8.7","8.7",".","8.7",".",".",".",".",".",".",".",".",".",".","."
"","002
114","19","3.632","52.6","31.6","10.5",".","5.3",".",".",".",".",".",".",".",".",".",".","."
"2nd Sem Elementary Japanese","Course Total","42","3.667","64.3","19.0","9.5",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"First Semester Asian Language","121
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Filipino","123
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hmong","125
001","17","3.265","47.1","5.9","29.4","11.8",".",".","5.9",".",".",".",".",".",".",".",".","."
"First Semester Indonesian","127
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Thai","129
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Vietnamese","131
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Hindi","133
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Modern Tibetan","135
001","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Persian","137
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Urdu","139
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","201
001","18","3.694","77.8","16.7",".",".",".",".","5.6",".",".",".",".",".",".",".",".","."
"","002
201","19","3.778","73.7",".","21.1",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"","004
201","9","3.875","66.7","22.2",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Third Semester Chinese","Course Total","46","3.761","73.9","10.9","8.7",".",".",".","2.2","2.2",".",".",".",".",".",".","2.2","."
"","001
203","15","3.536","40.0","33.3","13.3",".","6.7",".",".","6.7",".",".",".",".",".",".",".","."
"","203
002","11","3.318","36.4","27.3","9.1","18.2","9.1",".",".",".",".",".",".",".",".",".",".","."
"","203
003","10","3.700","40.0","60.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Japanese","Course Total","36","3.514","38.9","38.9","8.3","5.6","5.6",".",".","2.8",".",".",".",".",".",".",".","."
"Third Semester Korean","205
001","20","3.575","55.0","15.0","20.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Filipino","223
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Hmong","225
001","16","3.781","62.5","31.3","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Indonesian","227
001","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Thai","229
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
