"BIOCHEMISTRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"200
BIOCHEM","","","","","","","","","","","","","","","","","","","",""
"699","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".",".",".","10.0","."
"699","057","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","074","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","079","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","080","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","56","4.000","92.9",".",".",".",".",".",".",".",".",".",".",".",".",".","7.1","."
"701
Professional Responsibility","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","001","","37","4.000","16.2",".",".",".",".",".",".","81.1",".",".",".",".","2.7",".",".","."
"729","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"729","006","","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","007","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","008","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","009","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","011","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"729","012","","45","3.890","71.1","20.0",".",".",".",".",".",".",".",".",".",".","8.9",".",".","."
"Advanced Topics","Course Total","","176","3.938","73.3","6.3","0.6",".",".",".",".","17.0",".",".",".",".","2.8",".",".","."
"872
Topic-Macromoleculr/Biophys","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Smr-Nutr&Metabolism (Adv)","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"910
Smr-Molecular Virolgy (Adv)","001","","9","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"914
Smr-Molecular Biosci (Adv)","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"915
Computn&Informatcs in Biol&Med","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"917
Reg Gene Expression Adv Sem","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"932
Biotechnol Traing Prgm Smr","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","039","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","041","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","043","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","11","",".",".",".",".",".",".",".",".",".",".",".","100.0",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
