"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"PHM SCI","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","3","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Junior","112","3.492","54.5","17.9","14.3","6.3","5.4","1.8",".",".","",".",".","",".",".","",".",".",".","."
"Senior","169","3.476","54.4","14.8","19.5","4.1","4.7","1.8","0.6",".","",".",".","",".",".","",".",".",".","."
"Undergraduates","284","3.480","54.6","15.8","17.3","5.3","4.9","1.8","0.4",".","",".",".","",".",".","",".",".",".","."
"Special","2","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Graduate","200","3.876","36.0","7.0","0.5",".",".",".",".","22.0","",".","33.0","",".","1.5","",".",".",".","."
"Prof Yr 1","254","3.528","47.6","22.8","19.7","7.1","2.8",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 2","401","3.612","50.6","28.9","14.7","3.7","2.0",".",".",".","",".",".","",".",".","",".",".",".","."
"Prof Yr 3","145","3.857","77.2","16.6","4.8","0.7",".",".",".","0.7","",".",".","",".",".","",".",".",".","."
"Prof Yr 4","1","***","","","","","","","","","","",".","",".",".","",".",".",".","."
"Professionals","801","3.619","54.6","24.7","14.5","4.2","1.9",".",".","0.1","",".",".","",".",".","",".",".",".","."
