"L&S","","","","","","","","","","","","","","","","","","","","",""
"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"ECON
296","Dept. Total","5965","3.207","28.2","23.6","24.3","13.8","6.8","1.4","0.3","0.9","",".","0.1","",".","0.0","0.5","0.1","0.1","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","951","3.045","14.5","24.9","27.2","22.8","8.3","1.4",".",".","",".",".","",".",".","0.8",".",".","."
"Sophomore","","1215","3.212","26.8","24.4","25.8","13.6","7.0","1.2","0.5",".","",".",".","",".",".","0.5","0.2",".","."
"Junior","","1239","3.139","24.1","23.1","25.7","15.2","8.9","1.9","0.4",".","",".",".","",".",".","0.6","0.2",".","."
"Senior","","1448","3.118","24.8","21.9","24.4","16.3","8.8","2.2","0.5","0.4","",".","0.3","",".","0.1","0.2","0.1","0.1","."
"Undergraduates","","4853","3.133","23.1","23.4","25.6","16.6","8.3","1.7","0.4","0.1","",".","0.1","",".","0.0","0.5","0.1","0.0","."
"Special","","133","3.581","52.6","17.3","16.5","4.5","1.5",".","0.8","4.5","",".",".","",".",".",".",".","2.3","."
"Graduate","","979","3.644","49.9","25.1","18.9","0.9","0.2",".","0.1","4.5","",".",".","",".",".","0.3",".",".","."
"","Dept. Total","5965","3.207","28.2","23.6","24.3","13.8","6.8","1.4","0.3","0.9","",".","0.1","",".","0.0","0.5","0.1","0.1","."
