"ACTUARIAL SCIENCE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"Actuarial Science Methods I","300
001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","301
001","","35","3.714","77.1","5.7","5.7","5.7","5.7",".",".",".",".",".",".",".",".",".",".","."
"","002
301","","34","3.794","73.5","11.8","14.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Actuarial Science Methods II","Course Total","","69","3.754","75.4","8.7","10.1","2.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","303
001","","38","3.079","23.7","26.3","23.7","10.5","7.9","7.9",".",".",".",".",".",".",".",".",".","."
"","002
303","","36","3.000","25.0","16.7","36.1","5.6","5.6","8.3","2.8",".",".",".",".",".",".",".",".","."
"Theory of Interest","Course Total","","74","3.041","24.3","21.6","29.7","8.1","6.8","8.1","1.4",".",".",".",".",".",".",".",".","."
"","001
650","","36","3.069","30.6","16.7","22.2","13.9","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","650
002","","40","3.138","25.0","40.0","12.5","7.5","5.0","7.5","2.5",".",".",".",".",".",".",".",".","."
"Actuarial Mathematics I","Course Total","","76","3.105","27.6","28.9","17.1","10.5","6.6","7.9","1.3",".",".",".",".",".",".",".",".","."
"","652
001","","43","3.081","25.6","14.0","27.9","16.3","16.3",".",".",".",".",".",".",".",".",".",".","."
"","002
652","","35","3.143","22.9","25.7","25.7","20.0","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"Loss Models I","Course Total","","78","3.109","24.4","19.2","26.9","17.9","10.3",".","1.3",".",".",".",".",".",".",".",".","."
"Loss Models II","653
001","","33","3.000","30.3","15.2","24.2","9.1","12.1","6.1","3.0",".",".",".",".",".",".",".",".","."
"Regressn&Time Series-Actuaries","654
001","","27","3.212","22.2","25.9","22.2","22.2","3.7",".",".",".",".",".",".",".","3.7",".",".","."
"ACT SCI
242","Dept. Total","","368","3.146","36.7","19.8","20.9","10.6","6.8","3.8","1.1",".",".",".",".",".","0.3",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"242
ACT SCI","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Sophomore","","","50","3.230","48.0","16.0","22.0","4.0","8.0","2.0",".",".",".",".",".",".",".",".",".","."
"Junior","","","114","3.165","39.5","16.7","23.7","11.4","5.3","3.5",".",".",".",".",".",".",".",".",".","."
"Senior","","","177","3.199","33.3","24.3","18.1","12.4","6.2","4.0","1.1",".",".",".",".",".","0.6",".",".","."
"Undergraduates","","","342","3.191","37.4","20.5","20.8","10.8","6.1","3.5","0.6",".",".",".",".",".","0.3",".",".","."
"Special","","","25","2.468","24.0","12.0","24.0","8.0","16.0","8.0","8.0",".",".",".",".",".",".",".",".","."
"Graduate","","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Dept. Total","","368","3.146","36.7","19.8","20.9","10.6","6.8","3.8","1.1",".",".",".",".",".","0.3",".",".","."
