"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"LAW","","","","","","","","","","","","","","","","","","","","","","",""
"LAW","College Total","1662","1.160","6.2","0.1","19.8","",".","1.7","0.5","0.2","23.1","",".",".","",".","",".","0.1",".","0.5","1.3"
"Summary by College/School","","#","Ave","A","AB","B","BC","","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"LAW","","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"Special","","31","2.060","16.1","3.2","25.8","",".",".",".",".","9.7","",".",".","",".","",".",".",".","16.1","."
"Prof Yr 1","","465","1.028","3.7",".","27.7","",".","1.9","0.2",".","0.2","",".",".","",".","",".",".",".","0.2","."
"Prof Yr 2","","670","1.216","7.2",".","15.7","",".","2.2","0.9","0.3","32.7","",".",".","",".","",".",".",".","0.1","1.5"
"Prof Yr 3","","399","1.278","7.0",".","15.5","",".","0.8","0.3",".","37.8","",".",".","",".","",".","0.3",".","0.3","2.8"
"Prof Yr 4","","97","1.200","5.2",".","25.8","",".","2.1","1.0","1.0","10.3","",".",".","",".","",".",".",".",".","."
"Professionals","","1631","1.148","6.0",".","19.7","",".","1.8","0.6","0.2","23.4","",".",".","",".","",".","0.1",".","0.2","1.3"
"","College Total","1662","1.160","6.2","0.1","19.8","",".","1.7","0.5","0.2","23.1","",".",".","",".","",".","0.1",".","0.5","1.3"
