"FOLKLORE PROGRAM","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"380
FOLKLORE","","","","","","","","","","","","","","","","","","","",""
"Introduction to Folklore","100
001","","69","3.746","71.0","15.9","5.8","1.4","1.4",".","1.4","2.9",".",".",".",".",".",".",".","."
"Intro-Mus Cult of the World","103
001","","76","3.693","76.3","5.3","11.8",".","2.6",".","2.6","1.3",".",".",".",".",".",".",".","."
"Folklore Cent East North Eur","200
001","","46","3.830","78.3","6.5","6.5","4.3",".",".",".","4.3",".",".",".",".",".",".",".","."
"","210
001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","","11","3.545","63.6","18.2","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".","."
"","003
210","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","005
210","","9","3.667","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","210
006","","10","3.850","80.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","Course Total","","48","3.750","75.0","10.4","10.4","2.1",".","2.1",".",".",".",".",".",".",".",".",".","."
"Global Language Issues","211
211","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to American Folklore","230
001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342
001","","10","3.731","50.0","20.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","10.0"
"Dir Stdy-Folklore Undergrad","399
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Folklore","530
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independ Stdy-Folklore Grad","Course Total","","2","***","","","","","","","","","","","","","","","",""
