"GENERAL BUSINESS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"231
GEN BUS","","","","","","","","","","","","","","","","","","",""
"","110
002","36","3.972","97.2",".","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
003","34","3.824","79.4","11.8","5.9",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","110
004","27","3.852","77.8","14.8","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
110","31","3.435","58.1","16.1","6.5","6.5","9.7",".","3.2",".",".",".",".",".",".",".",".","."
"","110
006","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
007","24","3.958","95.8",".","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
008","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
110","27","3.889","88.9","3.7","3.7","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","110
010","20","3.750","75.0","15.0",".","5.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"","110
011","17","3.529","52.9","17.6","17.6","5.9","5.9",".",".",".",".",".",".",".",".",".",".","."
"","110
012","24","3.729","62.5","25.0","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","110
013","36","3.778","69.4","22.2","5.6",".","2.8",".",".",".",".",".",".",".",".",".",".","."
"","110
014","35","3.914","91.4","5.7",".",".","2.9",".",".",".",".",".",".",".",".",".",".","."
"","110
015","36","3.903","86.1","11.1",".","2.8",".",".",".",".",".",".",".",".",".",".",".","."
"","110
016","26","3.788","80.8","3.8","11.5",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"","110
017","20","3.850","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","110
018","24","3.896","83.3","12.5","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
019","24","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","110
020","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pers & Prof Foundation in Bus","Course Total","519","3.839","82.5","9.2","4.6","1.7","1.7",".","0.2",".",".",".",".",".",".",".",".","."
"","120
001","36","3.972","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
002","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
003","36","3.972","97.2",".","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
004","27","3.889","85.2","7.4","7.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
120","30","3.917","86.7","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
006","24","3.792","75.0","12.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","120
007","24","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","008
120","37","3.878","83.8","10.8","2.7","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","120
009","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
010","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","011
120","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","012
120","24","3.917","91.7","4.2",".","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"","120
013","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
014","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
120","37","3.932","94.6",".","2.7","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"","120
016","37","3.932","86.5","13.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","120
017","27","3.981","96.3","3.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pers & Prof Foundation in Bus","Course Total","482","3.939","91.3","6.0","1.9","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"","300
001","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
002","19","3.722","57.9","26.3","5.3","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"","300
003","20","3.700","45.0","50.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
004","20","3.650","45.0","45.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","300
005","19","3.632","42.1","42.1","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
006","20","3.675","45.0","45.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","300
007","20","3.675","50.0","40.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","300
008","19","3.632","47.4","36.8","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 48 of 420"
