"L&S","","","","","","","","","","","","","","","","","","","","",""
"ENGLISH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","","",""
"ENGL
352","Dept. Total","4277","3.698","62.8","19.3","8.7","2.4","1.4","0.4","0.7","0.9","",".","0.2","",".","1.9","1.0","0.0","0.2","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"352
ENGL","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1035","3.791","70.7","19.5","6.4","1.9","0.9",".",".",".","",".",".","",".",".","0.5","0.1",".","."
"Sophomore","","1104","3.713","63.9","22.0","9.3","2.4","1.4","0.2","0.3",".","",".",".","",".",".","0.4",".",".","."
"Junior","","900","3.596","56.9","23.8","11.0","2.9","1.9","0.8","1.7",".","",".",".","",".",".","0.8","0.1",".","0.2"
"Senior","","854","3.614","62.5","17.0","11.5","3.4","2.0","0.9","1.4","0.2","",".",".","",".","0.4","0.6",".",".","0.1"
"Undergraduates","","3893","3.684","63.8","20.7","9.4","2.6","1.5","0.4","0.8","0.1","",".",".","",".","0.1","0.5","0.1",".","0.1"
"Special","","85","3.763","44.7","17.6","5.9","1.2",".",".",".","12.9","",".",".","",".",".","15.3",".","2.4","."
"Graduate","","299","3.977","54.8","2.0","0.3",".",".",".",".","8.4","",".","3.3","",".","26.8","2.3",".","2.0","."
"","Dept. Total","4277","3.698","62.8","19.3","8.7","2.4","1.4","0.4","0.7","0.9","",".","0.2","",".","1.9","1.0","0.0","0.2","0.1"
