"Summary by Level","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"POP HLTH","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","2","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","2","***","","","","","","","","","","","","",".","",".",".",".",".",".","."
"Junior","32","3.516","37.5","31.3","31.3",".",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","67","3.731","61.2","23.9","10.4",".","1.5","",".","",".","3.0","",".",".","",".",".",".",".",".","."
"Undergraduates","103","3.632","52.4","25.2","18.4",".","1.9","",".","",".","1.9","",".",".","",".",".",".",".",".","."
"Special","18","3.671","55.6","11.1","11.1","5.6",".","",".","",".","16.7","",".",".","",".",".",".",".",".","."
"Graduate","136","3.869","68.4","14.0","3.7",".",".","",".","",".","5.9","",".",".","",".","2.9","1.5",".","3.7","."
"Prof Yr 1","18","3.742","66.7","5.6","11.1","5.6",".","",".","",".","5.6","",".",".","",".",".",".",".","5.6","."
"Prof Yr 2","24","3.977","83.3","4.2",".",".",".","",".","",".","12.5","",".",".","",".",".",".",".",".","."
"Prof Yr 3","14","3.885","28.6","7.1",".",".",".","",".","",".","64.3","",".",".","",".",".",".",".",".","."
"Prof Yr 4","158","3.881","39.2","7.6","2.5","1.3",".","",".","",".","47.5","",".",".","",".",".","1.9",".",".","."
"Professionals","214","3.879","45.8","7.0","2.8","1.4",".","",".","",".","41.1","",".",".","",".",".","1.4",".","0.5","."
