"INTERDIS COURSES (L & S)","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"502
INTER-LS","","","","","","","","","","","","","","","","","","",""
"","101
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
101","18","3.618","50.0","16.7","27.8",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","004
101","18","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Biological Sci","Course Total","56","3.818","76.8","7.1","14.3",".",".",".",".",".",".",".",".",".","1.8",".",".","."
"1st-Yr Seminar: Humanities","001
102","19","3.639","42.1","36.8","15.8",".",".",".",".",".",".",".",".",".",".",".","5.3","."
"","106
001","20","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
106","15","3.167","40.0","13.3","26.7","6.7","6.7",".","6.7",".",".",".",".",".",".",".",".","."
"","106
003","20","3.825","65.0","35.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1st-Yr Seminar: Social Sci","Course Total","55","3.655","60.0","27.3","7.3","1.8","1.8",".","1.8",".",".",".",".",".",".",".",".","."
"1st-Yr Smr: Social&Natural Sci","107
001","17","3.625","52.9","29.4",".","5.9","5.9",".",".",".",".",".",".",".","5.9",".",".","."
"How to Succeed in College","145
002","181","3.972","96.1","1.7","1.1","0.6",".",".",".","0.6",".",".",".",".",".",".",".","."
"Ways of Knowing:Med&Society","152
001","12","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
001","19","3.868","84.2","5.3","10.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
002","20","3.925","90.0","5.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","18","3.722","77.8","11.1","5.6",".",".","5.6",".",".",".",".",".",".",".",".",".","."
"","210
005","20","3.447","75.0","5.0",".",".",".","10.0","5.0",".",".",".",".",".","5.0",".",".","."
"","210
006","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","210
007","20","3.895","80.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".","5.0",".","."
"","210
009","19","3.763","84.2","5.3","5.3",".",".","5.3",".",".",".",".",".",".",".",".",".","."
"L&S Career Development","Course Total","134","3.795","82.8","7.5","4.5",".",".","3.0","0.7",".",".",".",".",".","0.7","0.7",".","."
"Communicating About Careers","001
215","107","3.855","86.0","7.5","3.7","0.9","0.9",".","0.9",".",".",".",".",".",".",".",".","."
"","250
001","16","3.878","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
250","15","3.871","66.7","26.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","250
003","16","3.891","75.0","18.8",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","250
004","17","3.944","82.4","11.8",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","250
005","16","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
006","16","3.814","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
007","14","3.790","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","250
008","16","3.824","68.8","31.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
250","17","3.851","64.7","29.4",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","250
010","16","3.868","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergrad Research Experience","Course Total","159","3.867","71.7","25.2","0.6",".",".",".",".",".",".",".",".",".","2.5",".",".","."
"","260
001","18","3.971","88.9","5.6",".",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"","260
002","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrnshp in Liberal Arts & Sci","Course Total","30","3.983","93.3","3.3",".",".",".",".",".",".",".",".",".",".","3.3",".",".","."
"Teach Learn Letters Sciences","300
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Paradigms&Process-Acad Inquiry","315
001","13","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
