"L&S","","","","","","","","","","","","","","","","","","",""
"GREEK (CLASSICS)","","Section
#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"428","GREEK","","","","","","","","","","","","","","","","","",""
"","Elementary Ancient Greek","103
001
11","3.200","27.3","36.4",".","18.2",".","9.1",".",".",".",".",".",".",".","9.1",".","."
"Intermediate Greek","","305
001
3","***","","","","","","","","","",".",".",".",".",".",".","."
"Thucydides","","532
001
9","3.500","33.3","44.4","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","","699
022
2","***","","","","","","","","","",".",".",".",".",".",".","."
"","","890
021
1","***","","","","","","","","","",".",".",".",".",".",".","."
"","","890
022
1","***","","","","","","","","","",".",".",".",".",".",".","."
"","Individual Research Thesis","Course Total
2","***","","","","","","","","","","","","","","","",""
