"L&S","","","","","","","","","","","","","","","","","","","","","","","","",""
"MUSIC-PERFORMANCE","Section","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","","","",""
"MUS PERF
664","Dept. Total","526","3.928","83.3","11.6","1.1","0.2","0.2","",".","",".","",".","",".",".","",".","",".","3.2",".","0.4","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"664
MUS PERF","","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","48","3.839","72.9","22.9",".","2.1",".","",".","",".","",".","",".",".","",".","",".","2.1",".",".","."
"Sophomore","","74","3.926","85.1","13.5","1.4",".",".","",".","",".","",".","",".",".","",".","",".",".",".",".","."
"Junior","","96","3.923","84.4","12.5","2.1",".",".","",".","",".","",".","",".",".","",".","",".","1.0",".",".","."
"Senior","","160","3.925","88.1","9.4","1.3",".","0.6","",".","",".","",".","",".",".","",".","",".","0.6",".",".","."
"Undergraduates","","378","3.915","84.7","12.7","1.3","0.3","0.3","",".","",".","",".","",".",".","",".","",".","0.8",".",".","."
"Special","","2","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","144","3.955","79.9","9.0",".",".",".","",".","",".","",".","",".",".","",".","",".","9.7",".","1.4","."
"Prof Yr 1","","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Prof Yr 2","","1","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","","","","",".","",".","",".",".",".",".","."
"","Dept. Total","526","3.928","83.3","11.6","1.1","0.2","0.2","",".","",".","",".","",".",".","",".","",".","3.2",".","0.4","."
