"ENGR MECHANICS & ASTRONAUSection","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"346
E M A","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Private Pilot","110
001","14","3.679","50.0","35.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","201
001","155","2.948","29.0","13.5","21.9","16.1","7.7","9.7","1.9",".",".",".",".",".",".",".",".","."
"","201
002","143","2.797","16.1","21.0","23.8","14.0","11.2","13.3","0.7",".",".",".",".",".",".",".",".","."
"Statics","Course Total","298","2.876","22.8","17.1","22.8","15.1","9.4","11.4","1.3",".",".",".",".",".",".",".",".","."
"Dynamics","202
001","105","2.957","12.4","28.6","24.8","20.0","9.5","2.9","1.9",".",".",".",".",".",".",".",".","."
"","001
303","62","2.879","14.5","17.7","32.3","16.1","12.9","4.8","1.6",".",".",".",".",".",".",".",".","."
"","303
002","47","3.245","29.8","29.8","21.3","6.4","8.5","4.3",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials","Course Total","109","3.037","21.1","22.9","27.5","11.9","11.0","4.6","0.9",".",".",".",".",".",".",".",".","."
"","307
001","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
002","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
003","8","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
307","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
006","9","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
007","13","3.538","30.8","46.2","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
008","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","011
307","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
012","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","307
013","13","3.500","38.5","23.1","38.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","307
014","7","3.500","42.9","14.3","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mechanics of Materials Lab","Course Total","88","3.642","48.9","30.7","20.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum-Finite Elements","001
405","44","3.091","25.0","9.1","34.1","22.7","9.1",".",".",".",".",".",".",".",".",".",".","."
"Design Probs in Engineering","469
001","48","3.313","37.5","12.5","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Mech of Materials I","506
001","67","3.328","25.4","26.9","31.3","9.0","3.0",".",".","3.0",".",".",".",".","1.5",".",".","."
"Aerodynamics","521
001","45","3.111","20.0","24.4","24.4","20.0","11.1",".",".",".",".",".",".",".",".",".",".","."
"Exp Vib & Dynamic Sys Anal","540
001","13","2.500","23.1","7.7","15.4",".","30.8","23.1",".",".",".",".",".",".",".",".",".","."
"Advanced Dynamics","542
002","35","2.871","5.7","31.4","28.6","17.1","11.4","2.9","2.9",".",".",".",".",".",".",".",".","."
"Engineering Analysis I","547
001","11","3.364","36.4","27.3","18.2","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","599
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
056","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599
057","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","6","3.906","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","28","3.204","25.0","14.3","39.3","10.7","7.1",".",".",".",".",".",".",".",".","3.6",".","."
"","601
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics: Engr Mech","Course Total","30","3.223","30.0","13.3","36.7","10.0","6.7",".",".",".",".",".",".",".",".","3.3",".","."
"Intro to Finite Elements","605
001","18","3.583","50.0","22.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Micro- and Nanoscale Mechanics","615
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Viscoelastic Solids","630
001","33","3.773","69.7","18.2","9.1","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Lin Viscoelastcty&Plastcty","703
001","13","3.583","30.8","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".","7.7","."
"January 27, 2020","","","","","","","","","","","","","","","","","","Page 129 of 420",""
