"Human Ecology Special Topics","Course Total","31","3.979","96.8","3.2",".",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"","001
815","15","3.833","86.7","6.7",".",".","6.7",".",".",".",".","",".",".","",".","",".",".",".","."
"","002
815","13","3.808","84.6","7.7",".",".","7.7",".",".",".",".","",".",".","",".","",".",".",".","."
"","815
003","10","3.800","90.0",".",".",".","10.0",".",".",".",".","",".",".","",".","",".",".",".","."
"Prof Skills for Comm Leaders","Course Total","38","3.816","86.8","5.3",".",".","7.9",".",".",".","",".",".","",".","",".",".",".",".","."
"Capstone Seminar","001
980","6","",".",".",".",".",".",".",".","83.3",".","",".",".","",".","","16.7",".",".","."
"INTER-HE
498","Dept. Total","458","3.354","42.6","25.5","17.9","6.3","4.1","1.3","0.7","1.3","",".",".","",".","",".","0.2",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"498
INTER-HE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","160","3.188","11.3","44.4","26.9","10.6","5.0","1.3","0.6",".","",".",".","",".","",".",".",".",".","."
"Sophomore","","43","3.393","23.3","46.5","18.6","9.3","2.3",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","","76","3.632","65.8","13.2","11.8","5.3","1.3","2.6",".",".","",".",".","",".","",".",".",".",".","."
"Senior","","102","3.407","52.0","12.7","21.6","3.9","5.9","2.0","2.0",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","","381","3.291","34.4","29.9","21.5","7.6","4.2","1.6","0.8",".","",".",".","",".","",".",".",".",".","."
"Special","","2","***","","","","","","","","","","",".","",".","",".",".",".",".","."
"Graduate","","75","3.906","84.0","4.0",".",".","4.0",".",".","6.7","",".",".","",".","",".","1.3",".",".","."
"","Dept. Total","458","3.354","42.6","25.5","17.9","6.3","4.1","1.3","0.7","1.3","",".",".","",".","",".","0.2",".",".","."
