"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"751
Adv Prac Nrsg Thry-Psychiatric","001","","10","3.944","80.0","10.0",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"799","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"804
Advanced Qualitative Design","001","","14","3.929","92.9",".","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"806
Eval & App Evidence-Based Prac","001","","24","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"811
Advanced Pathophysiology","001","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"815
Knowledge Developmt in Nursing","001","","7","3.750","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"816","001","","8","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"816","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Proseminar in Nursing Research","Course Total","","12","4.000","33.3",".",".",".",".",".",".","66.7",".",".",".",".",".",".",".","."
"818
Patient-centered Research","001","","9","3.722","66.7","22.2",".","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"826","010","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"826","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"826","020","","12","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"826","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"826","060","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations APN Clin Pract III","Course Total","","28","3.821","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"828","010","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"828","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"828","020","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"828","021","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"828","040","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"828","060","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"828","061","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Leadership III","Course Total","","28","3.981","96.4","3.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"829
Clinical Leadership IV","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"906","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"906","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"906","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"906","004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"906","006","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Scholarly Project","Course Total","","25","",".",".",".",".",".",".",".","96.0",".",".",".",".","4.0",".",".","."
"990","018","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","075","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","078","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","095","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Thesis Research","Course Total","","8","",".",".",".",".",".",".",".","62.5",".",".",".","37.5",".",".",".","."
"999","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 400 of 420",""
