"COMMUNICATION ARTS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"250
COM ARTS","","","","","","","","","","","","","","","","","","","",""
"","100","051","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","052","12","3.250",".","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100","053","13","3.538","15.4","76.9","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","054","13","3.615","23.1","76.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","055","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","056","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","057","13","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","058","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","059","13","3.692","46.2","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","061","13","3.269","15.4","30.8","46.2","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100","062","13","3.731","69.2","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100","063","13","3.269","30.8","15.4","38.5","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"","100","064","14","3.786","64.3","28.6","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100","065","13","3.385","15.4","53.8","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"","100","066","12","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Speech Composition","","Course Total","779","3.416","28.8","41.8","19.9","5.5","2.2","0.9","0.5",".",".",".",".",".","0.4",".",".","."
"Intro-Digital Media Production","155","001","144","3.874","81.9","12.5","3.5",".","1.4",".",".",".",".",".",".",".","0.7",".",".","."
"Elements of Speech-Honors","181","001","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Communication","200","001","117","3.461","31.6","42.7","14.5","7.7","1.7","0.9",".",".",".",".",".",".","0.9",".",".","."
"Survey of Contemporary Media","250","001","230","3.289","13.0","49.6","23.9","6.5","2.2","0.9","0.9","2.2",".",".",".",".","0.9",".",".","."
"Communication & Human Behav","260","001","232","3.677","62.1","21.6","8.6","3.4","2.2","0.4","0.4",".",".",".",".",".","0.9",".",".","0.4"
"Thry&Pract-Argument&Debate","262","001","158","3.624","45.6","39.2","10.1","2.5","1.9",".",".",".",".",".",".",".",".",".",".","0.6"
"Intro-Interpersonal Com","272","001","146","3.114","24.7","30.8","21.9","8.2","6.2","4.1","3.4",".",".",".",".",".","0.7",".",".","."
"Topics: Rhetoric & Com Science","310","001","71","3.671","47.9","40.8","7.0","1.4","1.4",".",".","1.4",".",".",".",".",".",".",".","."
"Topics: Film and Media Studies","313","001","15","3.667","46.7","40.0","13.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Media & Human Behavior","325","001","80","2.842","18.8","8.8","31.3","17.5","17.5","2.5","2.5","1.3",".",".",".",".",".",".",".","."
"Online Comm & Personal Rltnshp","345","001","42","3.321","14.3","54.8","23.8","4.8",".",".","2.4",".",".",".",".",".",".",".",".","."
"Critical Internet Studies","346","001","97","3.084","5.2","32.0","40.2","15.5","5.2",".",".",".",".",".",".",".","2.1",".",".","."
"Race, Ethnicity, and Media","347","001","55","3.370","14.5","47.3","32.7","3.6",".",".",".","1.8",".",".",".",".",".",".",".","."
"Introduction to Film","350","001","153","3.111","16.3","29.4","24.2","13.7","7.8","2.0","0.7",".",".",".",".",".","0.7","5.2",".","."
"Television Industries","351","001","123","3.033","12.2","25.2","33.3","17.1","6.5","3.3",".",".",".",".",".",".","1.6","0.8",".","."
"Film Genres","354","001","53","3.000","15.1","28.3","22.6","13.2","3.8","3.8","3.8","1.9",".",".",".",".","1.9",".","5.7","."
"Intro to Media Production","355","001","126","3.296","18.3","46.8","23.8","7.1",".","0.8","2.4",".",".",".",".",".","0.8",".",".","."
"History of Documentary Film","358","001","24","3.432","41.7","20.8","12.5","8.3","8.3",".",".","8.3",".",".",".",".",".",".",".","."
"Rhetoric, Politics, Culture","360","001","20","3.575","35.0","50.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"Quantitatve Rsch-Communictn","361","001","68","2.721","5.9","25.0","22.1","25.0","13.2","5.9","2.9",".",".",".",".",".",".",".",".","."
"Thry&Practice of Persuasion","368","001","120","3.130","34.2","20.0","15.0","12.5","12.5","2.5","2.5",".",".",".",".",".","0.8",".",".","."
"Rhetoric-Campaign&Revolutn","372","001","101","3.715","66.3","21.8","5.0","3.0","2.0",".","1.0","1.0",".",".",".",".",".",".",".","."
"Topics in Digital Studies","377","002","194","3.201","20.1","32.0","29.4","10.8","4.1","1.0","1.5",".",".",".",".",".","1.0",".",".","."
"Gender Sexuality & the Media","418","001","15","3.700","60.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","001","16","3.594","31.3","56.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","465","002","16","3.700","43.8","43.8","6.3",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 202 of 420",""
