"ZOOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"970
ZOOLOGY","","","","","","","","","","","","","","","","","","","",""
"315
Limnology-Aquatic Resources","001","","51","3.324","33.3","21.6","35.3","3.9","3.9",".","2.0",".",".",".",".",".",".",".",".","."
"316","001","","8","3.313","62.5","12.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".","."
"316","002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"316","003","","13","3.731","69.2","15.4","7.7","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Lab:Conservatn-Aquatic Rsrc","Course Total","","35","3.743","80.0","8.6","5.7","2.9",".",".","2.9",".",".",".",".",".",".",".",".","."
"360
Extinction of Species","001","","143","3.685","62.9","19.6","11.9","4.2","0.7","0.7",".",".",".",".",".",".",".",".",".","."
"405
Intro to Museum Studies","001","","15","3.659","73.3","13.3",".","6.7",".","6.7",".",".",".",".",".",".",".",".",".","."
"410
Evolutionary Biology","001","","40","2.694","20.0","15.0","20.0","5.0","12.5","12.5","5.0",".",".",".",".",".",".",".","10.0","."
"430
Compar Anatomy-Vertebrates","001","","36","3.303","30.6","13.9","36.1","2.8","8.3",".",".",".",".",".",".",".","5.6",".",".","2.8"
"460
General Ecology","001","","30","3.000","3.3","43.3","23.3","16.7","10.0","3.3",".",".",".",".",".",".",".",".",".","."
"500
Undergrad Neurobiology Seminar","001","","125","3.960","95.2","3.2","0.8",".","0.8",".",".",".",".",".",".",".",".",".",".","."
"523
Neurobiology","001","","256","3.182","33.2","21.1","21.5","5.9","14.8","2.7","0.8",".",".",".",".",".",".",".",".","."
"540
Theoretical Ecology","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"555
Lab-Developmental Biology","001","","13","3.423","38.5","23.1","23.1","15.4",".",".",".",".",".",".",".",".",".",".",".","."
"570
Cell Biology","001","","71","3.014","31.0","1.4","35.2","12.7","15.5","4.2",".",".",".",".",".",".",".",".",".","."
"630
Cellulr Signal Transductn Mech","001","","9","3.389","22.2","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"651
Conservation Biology","001","","11","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"660
Climate Change Ecology","001","","11","3.500","27.3","54.5","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"674
Behav Neuroendo Seminar","001","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","108","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","109","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","112","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","113","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","114","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","116","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","117","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","118","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","10","",".",".",".",".",".",".",".",".",".",".",".","70.0",".",".","30.0","."
"682
Senior Honors Thesis","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"691","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"691","105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","Course Total","","3","***","","","","","","","","","","","","","","","",""
"698","059","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"698","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 341 of 420",""
