"","CHEMICAL & BIOLOGICAL ENGR Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"220
CBE","","","","","","","","","","","","","","","","","","","","",""
"Cooperative Education Prog","1","001","","32","3.938","96.9",".",".",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"Intro to Chemical Engineering","150","001","","94","3.952","90.4","9.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Process Synthesis","250","002","","61","3.008","16.4","26.2","19.7","21.3","14.8","1.6",".",".",".",".",".",".",".",".",".","."
"Intro to Chem Process Modeling","255","001","","55","3.282","27.3","27.3","30.9","7.3","5.5","1.8",".",".",".",".",".",".",".",".",".","."
"Chem Process Thermodynamics","310","001","","64","2.664","6.3","17.2","25.0","18.8","26.6","6.3",".",".",".",".",".",".",".",".",".","."
"Thermodynamics of Mixtures","311","001","","44","2.989","18.2","13.6","34.1","15.9","18.2",".",".",".",".",".",".",".",".",".",".","."
"Intro Transport Phenomena","320","001","","90","3.165","15.6","28.9","37.8","7.8","5.6","2.2",".",".",".",".",".",".","2.2",".",".","."
"","324","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","002","","9","3.333","22.2","33.3","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","324","003","","9","3.444","22.2","44.4","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","324","004","","15","3.300","13.3","40.0","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Transport Phenomena Lab","","Course Total","","39","3.385","20.5","41.0","33.3","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"Momentum&Heat Transfer Oper","326","001","","35","3.000","22.9","17.1","14.3","28.6","17.1",".",".",".",".",".",".",".",".",".",".","."
"Eng Prin Mol, Cells, Tissues","330","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mass Transfer Operations","426","001","","57","3.061","15.8","24.6","35.1","5.3","19.3",".",".",".",".",".",".",".",".",".",".","."
"Chem Kinetcs & Reactor Dsgn","430","001","","60","3.058","25.0","20.0","21.7","11.7","20.0","1.7",".",".",".",".",".",".",".",".",".","."
"Chemical Engineering Matl","440","001","","31","3.016","22.6","19.4","9.7","35.5","12.9",".",".",".",".",".",".",".",".",".",".","."
"Process Design","450","001","","30","3.150","23.3","30.0","16.7","13.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Process Dynamics & Control","470","001","","41","3.720","58.5","31.7","7.3",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Biology in Engineering Seminar","517","001","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Polymer Sci & Technology","540","001","","32","3.328","34.4","21.9","25.0","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Chem Engr Connections","555","001","","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Biochemical Engineering","560","001","","32","3.578","40.6","34.4","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Spec Topics in ChE","562","010","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Solar Energy Technology","567","001","","16","3.406","37.5","37.5","12.5","6.3",".","6.3",".",".",".",".",".",".",".",".",".","."
"","599","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","021","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","022","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","024","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","599","025","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","599","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","","Course Total","","27","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intmed Problems in ChE","660","001","","34","3.471","38.2","23.5","32.4","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Independent Studies","699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv ChE Thermodynamic","710","001","","33","3.530","36.4","33.3","30.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Kinetics and Catalysis","735","001","","37","3.528","35.1","37.8","21.6","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"Molecules, Cells, & Systems","781","001","","19","3.824","57.9","31.6",".",".",".",".",".",".",".",".",".",".","10.5",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","","Page 116 of 420",""
