"MATHEMATICS","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"600
MATH","","","","","","","","","","","","","","","","","","","","",""
"Elementary Topology","551","001","","31","3.113","41.9","16.1","6.5","12.9","12.9","9.7",".",".",".",".",".",".",".",".",".","."
"Mathematical Logic","571","001","","25","2.818","20.0","16.0","12.0","16.0","12.0","12.0",".",".",".",".",".",".","4.0",".",".","8.0"
"Complex Analysis","623","001","","11","3.909","90.9",".","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Fourier Analysis","627","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","632","002","","42","3.333","57.1","7.1","14.3","2.4","11.9","7.1",".",".",".",".",".",".",".",".",".","."
"","632","003","","49","2.857","30.6","16.3","12.2","8.2","20.4","8.2","4.1",".",".",".",".",".",".",".",".","."
"","632","004","","43","2.791","25.6","14.0","27.9","9.3","7.0","7.0","9.3",".",".",".",".",".",".",".",".","."
"Intro-Stochastic Processes","","Course Total","","134","2.985","37.3","12.7","17.9","6.7","13.4","7.5","4.5",".",".",".",".",".",".",".",".","."
"Senior Honors Thesis","681","174","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","151","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","084","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","159","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","175","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","176","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Methods of Applied Math 1","703","001","","34","3.574","47.1","32.4","8.8","11.8",".",".",".",".",".",".",".",".",".",".",".","."
"Mathematical Fluid Dynamics","705","001","","21","3.833","71.4","23.8","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods of Computatnl Math I","714","001","","33","3.781","69.7","15.2","9.1","3.0",".",".",".",".",".",".",".",".","3.0",".",".","."
"First Crse in Real Analysis","721","001","","37","3.919","89.2","5.4","5.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Nonlinear Optimization I","726","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory of Probability I","733","001","","27","3.481","33.3","37.0","22.2","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"Abstract Algebra","741","001","","32","3.645","53.1","18.8","25.0",".",".",".",".",".",".",".",".",".","3.1",".",".","."
"Analytic Number Theory","749","001","","14","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introductory Topology I","751","001","","24","3.708","54.2","33.3","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Algebraic Geometry","763","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Differential Geometry","765","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Foundations of Mathematics","770","001","","12","3.800","58.3","16.7","8.3",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"Partial Differential Equatn","819","001","","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Real Analysis","821","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Functional Analysis","825","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fourier Analysis","827","001","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Representation Theory","843","001","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Combinatorics","846","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics-Algebraic Geom","863","001","","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Topics in Geometry","865","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Topics in Foundations","873","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar in Analysis","921","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","941","001","","9","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"","941","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Seminar-Algebra","","Course Total","","11","",".",".",".",".",".",".",".","18.2",".",".",".",".",".",".","81.8","."
"Seminar in Topology","951","001","","7","",".",".",".",".",".",".",".",".",".",".",".",".",".",".","100.0","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","","Page 276 of 420",""
