"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","",""
"AMN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AMN","College Total","340","3.906","85.6","11.8","1.5","",".","",".","0.6","",".","",".","",".",".","",".","",".","",".",".",".","0.6"
"Summary by College/School","","#","Ave","A","AB","B","BC","","C","","D","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"AMN","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","62","3.952","90.3","6.5","3.2","",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Sophomore","","66","3.919","84.8","13.6","1.5","",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Junior","","96","3.925","88.5","8.3","1.0","",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","2.1"
"Senior","","105","3.872","83.8","14.3",".","",".","",".","1.9","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","329","3.909","86.6","10.9","1.2","",".","",".","0.6","",".","",".","",".",".","",".","",".","",".",".",".","0.6"
"Special","","11","3.769","54.5","36.4","9.1","",".","",".",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","College Total","340","3.906","85.6","11.8","1.5","",".","",".","0.6","",".","",".","",".",".","",".","",".","",".",".",".","0.6"
