"MANAGEMENT AND HUMAN RES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"236
M H R","","","","","","","","","","","","","","","","","","",""
"","300
001","42","3.146","7.1","38.1","33.3","14.3","4.8",".",".","2.4",".",".",".",".",".",".",".","."
"","300
002","41","3.183","9.8","34.1","43.9","7.3","4.9",".",".",".",".",".",".",".",".",".",".","."
"","003
300","42","3.171","9.5","45.2","19.0","16.7","7.1",".",".",".",".",".",".",".","2.4",".",".","."
"","300
004","38","3.189","10.5","31.6","42.1","10.5","2.6",".",".",".",".",".",".",".","2.6",".",".","."
"","005
300","37","3.162","21.6","35.1","13.5","18.9","8.1","2.7",".",".",".",".",".",".",".",".",".","."
"","300
006","40","3.100","10.0","27.5","37.5","22.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"","007
300","41","3.122","9.8","29.3","43.9","9.8","7.3",".",".",".",".",".",".",".",".",".",".","."
"","300
008","44","3.034","6.8","27.3","38.6","20.5","6.8",".",".",".",".",".",".",".",".",".",".","."
"","009
300","39","3.192","7.7","28.2","59.0","5.1",".",".",".",".",".",".",".",".",".",".",".","."
"","300
010","42","3.321","21.4","28.6","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","011
300","43","3.233","20.9","18.6","53.5","4.7",".","2.3",".",".",".",".",".",".",".",".",".","."
"","012
300","45","3.244","24.4","28.9","26.7","15.6","2.2","2.2",".",".",".",".",".",".",".",".",".","."
"Managing Organizations","Course Total","494","3.175","13.4","31.0","37.9","12.8","3.8","0.6",".","0.2",".",".",".",".","0.4",".",".","."
"","001
305","63","3.659","57.1","28.6","6.3","4.8","3.2",".",".",".",".",".",".",".",".",".",".","."
"","305
002","71","3.577","53.5","28.2","8.5","5.6","2.8",".","1.4",".",".",".",".",".",".",".",".","."
"Human Resource Management","Course Total","134","3.616","55.2","28.4","7.5","5.2","3.0",".","0.7",".",".",".",".",".",".",".",".","."
"Nw Vntrs in Bus,Arts&Soc Entrp","320
001","39","3.641","46.2","38.5","12.8","2.6",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Entrepreneurial Mgnt","322
001","185","3.304","28.1","24.9","32.4","7.6","6.5",".",".",".",".",".",".",".","0.5",".",".","."
"","365
004","13","3.542","23.1","53.8","15.4",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","365
005","21","3.643","52.4","23.8","23.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","34","3.606","41.2","35.3","20.6",".",".",".",".",".",".",".",".",".","2.9",".",".","."
"The Management of Teams","401
001","35","3.529","34.3","40.0","22.9","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"","403
001","19","3.444","26.3","31.6","36.8",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"","403
002","19","3.500","31.6","42.1","21.1","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Global Issues in Management","Course Total","38","3.473","28.9","36.8","28.9","2.6",".",".",".","2.6",".",".",".",".",".",".",".","."
"","422
001","33","3.121","15.2","24.2","39.4","12.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","422
002","38","3.816","65.8","31.6","2.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneurial Management","Course Total","71","3.493","42.3","28.2","19.7","5.6","4.2",".",".",".",".",".",".",".",".",".",".","."
"","423
001","40","3.450","32.5","37.5","17.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"","423
002","39","3.282","30.8","17.9","28.2","23.1",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Management","Course Total","79","3.367","31.6","27.8","22.8","17.7",".",".",".",".",".",".",".",".",".",".",".","."
"Entrepreneur Growth Strategies","427
001","19","3.237","15.8","36.8","31.6","10.5","5.3",".",".",".",".",".",".",".",".",".",".","."
"Venture Creation","434
001","33","3.970","93.9","6.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Compensation: Theory & Adm","610
001","26","3.808","69.2","23.1","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Personnel Staffing & Eval","611
001","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
001","20","3.500","40.0","25.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","002
628","30","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","628
030","42","3.732","57.1","28.6","11.9",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Negotiations","Course Total","92","3.703","56.5","27.2","14.1","1.1",".",".",".",".",".",".",".",".","1.1",".",".","."
"Organizational Behavior","050
700","44","3.830","72.7","20.5","6.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Managing Behav in Organizatns","704
030","40","3.788","62.5","32.5","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Human Resource Management","705
001","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","706
020","33","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
