"Summary by Level","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"SURGERY","","","","","","","","","","","","","","","","","","",""
"Sophomore","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Junior","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduates","","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Graduate","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof Yr 3","","1","***","","","","","","","","","","100.0",".",".",".",".",".","."
"Prof Yr 4","","1","***","","","","","","","","","","100.0",".",".",".",".",".","."
"Professionals","","2","***","","","","","","","","","","100.0",".",".",".",".",".","."
