"ENGLISH AS A SECOND LANGUASection","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","",""
"351
ESL","","","","","","","","","","","","","","","","","",""
"110
002
Intensv English as 2nd Lang","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"115
002
Grammar for Academic Use","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
002","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
003","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
004","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
007","16","",".",".",".",".",".",".",".",".",".","93.8","6.3",".",".",".",".","."
"116
008","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
009","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
010","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
014","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"116
017","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Acad Reading and Vocab Skills","151","",".",".",".",".",".",".",".",".",".","99.3","0.7",".",".",".",".","."
"117
001","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
002","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
003","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
004","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
005","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
007","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
008","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
010","15","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
012","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"013
117","15","",".",".",".",".",".",".",".",".",".","93.3","6.7",".",".",".",".","."
"117
014","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
015","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
017","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
018","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
020","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
023","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
024","17","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
025","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"117
026","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Course Total
Academic Writing I","304","",".",".",".",".",".",".",".",".",".","99.7","0.3",".",".",".",".","."
"001
118","12","3.708","58.3","25.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
002","12","3.875","83.3","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
003","14","3.071","21.4","50.0","7.1","7.1",".","7.1","7.1",".",".",".",".",".",".",".",".","."
"118
004","12","3.708","58.3","33.3",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"118
005","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"007
118","14","3.821","64.3","35.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"008
118","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"009
118","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"010
118","13","3.769","61.5","30.8","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
012","14","3.036","50.0","14.3","7.1","7.1","7.1",".","14.3",".",".",".",".",".",".",".",".","."
"118
013","14","3.643","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"118
014","12","3.625","50.0","25.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
