"COUNSELING PSYCHOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"270
COUN PSY","","","","","","","","","","","","","","","","","","",""
"","115
011","24","2.792","54.2",".","8.3",".","16.7","4.2","16.7",".",".",".",".",".",".",".",".","."
"","115
012","16","3.438","68.8",".",".","12.5","18.8",".",".",".",".",".",".",".",".",".",".","."
"","115
013","18","3.194","44.4","5.6","22.2",".","27.8",".",".",".",".",".",".",".",".",".",".","."
"","115
014","20","2.625","35.0",".","20.0","5.0","20.0","10.0","10.0",".",".",".",".",".",".",".",".","."
"","115
021","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","022
115","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
023","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
024","9","3.667","77.8",".",".","22.2",".",".",".",".",".",".",".",".",".",".",".","."
"","115
031","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
032","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
033","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
034","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","115
051","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
052","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
053","7","3.071","57.1","14.3",".",".","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"","115
054","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","115
055","7","2.500","42.9","14.3",".",".","14.3",".","28.6",".",".",".",".",".",".",".",".","."
"","056
115","6","2.750","16.7","33.3","16.7","16.7",".",".","16.7",".",".",".",".",".",".",".",".","."
"","115
057","7","2.571","14.3","28.6","14.3",".","14.3","28.6",".",".",".",".",".",".",".",".",".","."
"Human Dev: Ed Effectiveness","Course Total","197","3.322","61.9","7.6","8.6","4.1","9.6","2.5","5.6",".",".",".",".",".",".",".",".","."
"","125
001","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
002","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
003","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
004","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
005","20","3.850","90.0",".",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","125
008","17","4.000","94.1",".",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","009
125","19","3.368","47.4","5.3","26.3","15.8","5.3",".",".",".",".",".",".",".",".",".",".","."
"","125
010","20","3.700","80.0","5.0","5.0","5.0",".","5.0",".",".",".",".",".",".",".",".",".","."
"","125
011","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
012","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
013","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
014","19","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
015","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
016","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
017","17","3.853","88.2",".","5.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","125
018","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
019","20","3.825","75.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"","125
020","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
021","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","022
125","18","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","023
125","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
024","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
025","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
026","17","3.824","88.2",".","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".","."
"","125
027","20","3.975","95.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","125
028","20","3.900","85.0","10.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 82 of 420"
