"AFRICAN CULTURAL STUDIES","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"104
AFRICAN","","","","","","","","","","","","","","","","","","",""
"Intro Afr Cultural Expression","100
001","90","3.916","90.0","7.8",".",".",".",".","1.1",".",".",".",".",".","1.1",".",".","."
"Intro African Cultural Studies","202
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Topics African Languages","204
001","18","3.444","55.6","27.8",".","5.6","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","210
001","24","3.917","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".","20.8","4.2","."
"","002
210","30","3.914","83.3","10.0","3.3",".",".",".",".",".",".",".",".",".",".",".","3.3","."
"","003
210","34","3.809","76.5","14.7","2.9","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","210
004","35","3.771","71.4","22.9","2.9",".",".","2.9",".",".",".",".",".",".",".",".",".","."
"","005
210","32","3.844","87.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"","210
006","31","3.855","80.6","12.9","3.2","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"The African Storyteller","Course Total","186","3.844","77.4","13.4","2.2","1.6","1.1","0.5",".",".",".",".",".",".",".","2.7","1.1","."
"Intro to Afr Pop Culture","212
001","10","3.333","30.0",".","60.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"HipHop & Politics in Senegal","220
001","14","3.393","21.4","35.7","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Global HipHop & Social Justice","233
001","82","2.866","24.4","13.4","26.8","11.0","13.4","7.3","3.7",".",".",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","18","3.778","72.2","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"African Lit in Translation","300
001","26","3.460","46.2","11.5","26.9","7.7","3.8",".",".",".",".",".",".",".","3.8",".",".","."
"","321
001","18","3.472","72.2","11.1",".","5.6",".","5.6","5.6",".",".",".",".",".",".",".",".","."
"","002
321","15","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","321
003","17","3.882","88.2","5.9",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"First Semester Arabic","Course Total","50","3.730","78.0","14.0",".","4.0",".","2.0","2.0",".",".",".",".",".",".",".",".","."
"","323
001","8","3.063","50.0","12.5","12.5",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"","323
002","8","3.625","62.5","12.5","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Third Semester Arabic","Course Total","16","3.344","56.3","12.5","12.5","6.3","6.3",".",".",".",".",".",".",".",".",".",".","."
"Fifth Semester Arabic","329
001","11","3.227","9.1","45.5","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"First Semester Swahili","331
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Third Semester Swahili","333
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Islam: Religion and Culture","370
001","15","3.750","53.3","33.3","6.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"First Semester Yoruba","371
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","391
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","391
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"1st Sem-Lang of West Africa","Course Total","4","***","","","","","","","","","","","","","","","",""
"","405
001","16","3.115","25.0","6.3","43.8",".",".",".","6.3","6.3",".",".",".",".","12.5",".",".","."
"","405
002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"African Cultural Studies","Course Total","21","3.324","38.1","4.8","33.3",".",".",".","4.8","4.8",".",".",".",".","9.5",".",".","4.8"
"African Literature - Advanced","606
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Theory & Methods LCTL Learning","001
670","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Multilanguage Seminar","671
001","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading&Writing Afri Cultr Std","700
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Teaching African Languages","703
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"CALx Working Group","804
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Sem in ACS: Tpcs","905
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research Methods","926
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","Page 166 of 420",""
