"ART DEPARTMENT","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"168
ART","","","","","","","","","","","","","","","","","","",""
"","100
001","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
002","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
003","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","21","3.975","90.5","4.8",".",".",".",".",".",".",".",".",".",".",".","4.8",".","."
"","100
005","21","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
006","21","3.929","95.2",".",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","100
007","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
008","22","3.795","77.3","9.1","9.1","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"","100
009","20","3.925","85.0","15.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
100","24","3.917","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
011","24","3.917","87.5","8.3","4.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
012","23","3.848","91.3","4.3",".",".",".","4.3",".",".",".",".",".",".",".",".",".","."
"","100
014","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
015","20","3.650","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Art","Course Total","300","3.915","88.7","7.0","3.0","0.7",".","0.3",".",".",".",".",".",".",".","0.3",".","."
"","102
001","19","3.711","63.2","21.1","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","102
002","16","3.469","56.3","18.8","18.8",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","102
003","14","3.607","71.4","21.4",".",".",".",".","7.1",".",".",".",".",".",".",".",".","."
"","102
004","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Two-Dimensional Design","Course Total","69","3.703","71.0","17.4","7.2","1.4",".",".","2.9",".",".",".",".",".",".",".",".","."
"","104
001","17","3.853","70.6","29.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","104
002","14","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
104","15","3.733","66.7","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","104
005","14","3.893","78.6","21.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Three-Dimensional Design","Course Total","60","3.833","71.7","25.0","1.7","1.7",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Digital Forms","107
001","168","3.628","78.0","7.1","4.8","0.6","3.6","3.0","3.0",".",".",".",".",".",".",".",".","."
"Foundations of Contemp Art","108
001","175","3.480","55.4","17.1","12.6","6.3","4.6","1.7","1.7",".",".",".",".",".",".",".","0.6","."
"","112
001","17","3.706","76.5","11.8",".",".","11.8",".",".",".",".",".",".",".",".",".",".","."
"","112
002","18","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
003","18","3.833","83.3","11.1",".",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"","112
004","16","3.938","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","112
005","20","3.579","65.0","15.0","5.0","5.0",".",".","5.0",".",".",".",".",".",".","5.0",".","."
"","112
006","17","3.765","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing I","Course Total","106","3.790","77.4","14.2","2.8","0.9","2.8",".","0.9",".",".",".",".",".",".","0.9",".","."
"","176
001","14","3.964","92.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
003","13","3.769","76.9",".","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","176
004","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Digital Photo for Non-Majors","Course Total","42","3.917","90.5","2.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
001","19","3.816","68.4","26.3","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","17","3.912","82.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
004","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drawing Methods & Concepts","Course Total","70","3.864","77.1","18.6","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
001","8","3.688","50.0","37.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","214
002","11","3.727","54.5","36.4","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 72 of 420"
