"AFRO-AMERICAN STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"106
AFROAMER","","","","","","","","","","","","","","","","","","","",""
"Intro-Contemp Afro-Am Soc","151","001","28","2.860","3.6","17.9","42.9","14.3","3.6","7.1",".","3.6",".",".",".",".","7.1",".",".","."
"Hip-Hop and Cont Am Society","154","001","166","3.823","68.1","24.1","4.2","0.6",".",".",".","3.0",".",".",".",".",".",".",".","."
"Black Music&Am Cultrl Hist","156","001","269","3.713","50.6","30.5","10.0","0.7",".",".",".","7.4",".",".",".",".",".","0.4","0.4","."
"HipHop & Politics in Senegal","220","001","6","3.417","16.7","50.0","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-AfricanAmer Dramatic Lit","225","001","22","3.595","63.6","18.2",".","4.5","4.5","4.5",".",".",".",".",".",".",".",".",".","4.5"
"Masterpieces of Afro Amer Lit","227","001","28","3.893","89.3","7.1",".",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"Intro to Afro-Am History","231","001","77","3.385","37.7","6.5","31.2","1.3","7.8",".",".","14.3",".",".",".",".",".",".","1.3","."
"Global HipHop & Social Justice","233","001","77","2.968","33.8","18.2","10.4","14.3","13.0","5.2","5.2",".",".",".",".",".",".",".",".","."
"Intro-Africn Art&Architectr","241","001","10","3.500","30.0","50.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Afro-American Art","242","001","27","3.315","63.0","3.7","11.1",".","11.1","11.1",".",".",".",".",".",".",".",".",".","."
"African-American Autobiography","265","001","28","3.741","60.7","21.4","14.3",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"","271","004","28","3.981","92.9","3.6",".",".",".",".",".",".",".",".",".",".","3.6",".",".","."
"","271","005","25","3.500","44.0","36.0","8.0",".","12.0",".",".",".",".",".",".",".",".",".",".","."
"Topics in African Amer Culture","","Course Total","53","3.750","69.8","18.9","3.8",".","5.7",".",".",".",".",".",".",".","1.9",".",".","."
"Race&Am Pol:New Deal-New Right","272","001","32","3.926","71.9","12.5",".",".",".",".",".","6.3",".",".",".",".","6.3",".","3.1","."
"Africa: Introductory Survey","277","001","9","3.611","55.6","33.3",".",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Undergrad St-Afroam History","302","001","24","3.188","20.8","33.3","33.3","4.2",".","8.3",".",".",".",".",".",".",".",".",".","."
"Mutl Perceptns-Racl Minorty","443","001","10","3.083",".","20.0","30.0","10.0",".",".",".",".",".",".",".",".","30.0",".",".","10.0"
"Major Authors","525","001","10","3.667","40.0","40.0","10.0",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"Hist-Civ Rghts Movmnt in US","628","001","13","3.269","23.1","61.5",".","7.7",".",".","7.7",".",".",".",".",".",".",".",".","."
"","671","001","23","3.795","69.6","13.0","13.0",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","671","002","18","3.528","50.0","11.1","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Afro-Am History","","Course Total","41","3.675","61.0","12.2","22.0","2.4",".",".",".",".",".",".",".",".","2.4",".",".","."
"Topics in Afro-Am Society","673","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","029","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study-Afro-Am Stdy","","Course Total","3","***","","","","","","","","","","","","","","","",""
"Research and Thesis","790","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
