"LITERATURE IN TRANSLATION","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"551
LITTRANS","","","","","","","","","","","","","","","","","","","","",""
"19&20th C Russn Lit Tran I","201","001","","23","3.500","43.5","8.7","17.4","13.0",".",".",".","17.4",".",".",".",".",".",".",".","."
"19&20 C Russian Lit Tran I","203","001","","50","3.550","56.0","20.0","12.0","6.0","4.0","2.0",".",".",".",".",".",".",".",".",".","."
"Women in Russn Lit in Trans","205","001","","9","3.625","44.4","33.3",".","11.1",".",".",".",".",".",".",".",".",".","11.1",".","."
"Polish Lit Tran:14-Mid 19 C","215","001","","10","3.650","60.0","10.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dostoevsky in Translation","222","001","","31","3.776","64.5","16.1","12.9",".",".",".",".",".",".",".",".",".","6.5",".",".","."
"V Nabokov: Russ&Amer Writng","223","001","","18","3.794","66.7","16.7","11.1",".",".",".",".",".",".",".",".",".","5.6",".",".","."
"Manga","231","001","","70","3.800","74.3","15.7","5.7","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"","233","001","","9","3.917","55.6","11.1",".",".",".",".",".",".",".",".",".",".","22.2","11.1",".","."
"","233","002","","7","3.286","14.3","42.9","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Russian Life&Cult (to 1917)","","Course Total","","16","3.622","37.5","25.0","12.5","6.3",".",".",".",".",".",".",".",".","12.5","6.3",".","."
"The World of Sagas","235","001","","9","3.667","66.7","11.1","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Slavic Lit in Translatn","247","002","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lit Tran: Modern Italy","254","001","","77","3.867","76.6","18.2","1.3",".","1.3",".",".","1.3",".",".",".",".","1.3",".",".","."
"Lt Trn:Boccaccios Decameron","255","001","","21","3.824","66.7",".","14.3",".",".",".",".","19.0",".",".",".",".",".",".",".","."
"Chinese Lit in Translation","261","002","","73","3.863","86.3","11.0",".",".","1.4",".","1.4",".",".",".",".",".",".",".",".","."
"German Women Writers-Tran","270","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Scand LitTran:Mid Ages-1900","271","002","","11","3.773","54.5","45.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","275","001","","97","3.630","56.7","27.8","7.2","2.1","3.1","2.1",".",".",".",".",".",".",".",".",".","1.0"
"","275","002","","72","3.667","59.7","31.9","4.2","1.4",".",".","2.8",".",".",".",".",".",".",".",".","."
"In Transl:Hans C. Andersen","","Course Total","","169","3.648","58.0","29.6","5.9","1.8","1.8","1.2","1.2",".",".",".",".",".",".",".",".","0.6"
"Topics in Dutch Lit in Tran","326","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Transl:19C Scand Fiction","337","001","","33","3.525","33.3","42.4","21.2","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Mythlgy-Scandnavia","342","001","","7","3.775","57.1","14.3","14.3",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"Machiavelli and His World","365","001","","11","3.636","54.5","18.2","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics in Japanese Lit","373","001","","30","3.550","50.0","36.7","6.7",".","3.3",".","3.3",".",".",".",".",".",".",".",".","."
"","410","001","","19","3.722","68.4","5.3","15.8","5.3",".",".",".",".",".",".",".",".","5.3",".",".","."
"","410","002","","17","3.824","70.6","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"In Trans:Topics-Italian Lit","","Course Total","","36","3.771","69.4","13.9","11.1","2.8",".",".",".",".",".",".",".",".","2.8",".",".","."
"In Translation:Slavic Drama","423","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Polish Lit Mid Ages-1863","471","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
