"","","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","","",""
"","FRENCH (FRENCH AND ITALIAN) Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"400
FRENCH","","","","","","","","","","","","","","","","","","","","",""
"Practical French Converstn","301","001","","14","4.000","64.3",".",".",".",".",".",".","28.6",".",".",".",".","7.1",".",".","."
"Adv Composition & Conversation","311","001","","21","3.595","42.9","42.9","4.8","9.5",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Oral & Written Expression","312","001","","22","3.571","68.2","9.1","9.1",".","4.5",".","4.5",".",".",".",".",".","4.5",".",".","."
"","313","001","","13","3.708","46.2","38.5","7.7",".",".",".",".","7.7",".",".",".",".",".",".",".","."
"","313","002","","16","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Comm&Cultr in Franc World","","Course Total","","29","3.768","55.2","37.9","3.4",".",".",".",".","3.4",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Lit","321","001","","30","3.569","43.3","30.0","20.0",".","3.3",".",".",".",".",".",".",".","3.3",".",".","."
"Intro to Lit of Modernity","322","002","","19","3.711","78.9","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".",".","."
"Medievl, Renais&Early Mod Civ","347","001","","26","3.846","80.8","7.7","11.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Modernity Studies","348","001","","27","3.611","48.1","29.6","18.5","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"Aspects-Contemp French Lit","467","001","","15","3.393","33.3","20.0","33.3",".","6.7",".",".",".",".",".",".",".","6.7",".",".","."
"Undergrad Smr-Fr Literary Stdy","567","001","","12","3.833","58.3","8.3","8.3",".",".",".",".",".",".",".",".",".","25.0",".",".","."
"Grammaire avancee","615","001","","14","3.714","50.0","42.9","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Rspnsbility in Prof French","616","001","","17","3.906","76.5","17.6",".",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"Litterature-XVIIe Siecle","640","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","699","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Prof French Masters Prg Intern","793","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","024","","23","3.929","82.6","13.0",".",".",".",".",".",".",".",".",".",".","4.3",".",".","."
"","799","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","","Course Total","","24","3.929","79.2","12.5",".",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"College Teaching of French","820","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","901","001","","14","3.864","57.1","21.4",".",".",".",".",".",".",".",".",".",".","21.4",".",".","."
"","901","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Smr-Materials&Methods-Rsch","","Course Total","","19","3.906","68.4","15.8",".",".",".",".",".",".",".",".",".",".","15.8",".",".","."
"Smr-19th C French Poetry","951","001","","9","3.929","66.7","11.1",".",".",".",".",".","11.1",".",".",".",".","11.1",".",".","."
"","990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individual Research","","Course Total","","4","***","","","","","","","","","","","","","","","",""
