"GEOGRAPHY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"416
GEOG","","","","","","","","","","","","","","","","","","","",""
"Intro to Human Geography","101","001","188","3.642","51.1","30.9","10.1","2.7","2.7",".",".",".",".",".",".",".","1.1","0.5","1.1","."
"Intro Earth System","120","001","95","3.039","10.5","14.7","50.5","11.6","6.3","1.1",".","4.2",".",".",".",".","1.1",".",".","."
"Physical Systems of Envr","127","001","11","3.273","27.3","27.3","27.3","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Global Environmental Issues","139","001","89","3.297","25.8","24.7","27.0","3.4","5.6","2.2",".","11.2",".",".",".",".",".",".",".","."
"Digital Globe:GIScience & Tech","170","001","243","3.656","68.3","12.3","9.5","2.5","4.9","1.6",".","0.4",".",".",".",".",".","0.4",".","."
"SE Asia:Vietnam to Philipns","244","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","7","3.143","57.1",".","28.6",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"Revolutions and Social Change","301","001","27","3.640","51.9","18.5","18.5","3.7",".",".",".",".",".",".",".",".","7.4",".",".","."
"Introduction to the City","305","001","58","3.702","53.4","36.2","3.4","5.2",".",".",".","1.7",".",".",".",".",".",".",".","."
"Climatic Environments-Past","335","001","19","3.056","21.1","5.3","42.1","15.8","10.5",".",".","5.3",".",".",".",".",".",".",".","."
"Nature, Power and Society","337","001","27","3.000","11.1","22.2","37.0",".","11.1",".","3.7",".",".",".",".",".","3.7",".","11.1","."
"Environmental Biogeography","338","001","43","3.338","32.6","11.6","44.2",".","2.3","2.3",".","4.7",".",".",".",".","2.3",".",".","."
"Environmental Conservation","339","001","41","3.475","36.6","34.1","17.1","4.9","4.9",".",".",".",".",".",".",".",".",".","2.4","."
"World Regions in Global Contxt","340","001","191","3.356","38.7","18.3","19.4","8.9","7.9","1.0",".","1.6",".",".",".",".","4.2",".",".","."
"","370","001","52","3.288","30.8","19.2","36.5","7.7","3.8","1.9",".",".",".",".",".",".",".",".",".","."
"","370","070","6","3.400","66.7",".",".",".",".","16.7",".",".",".",".",".",".","16.7",".",".","."
"Introduction to Cartography","","Course Total","58","3.298","34.5","17.2","32.8","6.9","3.4","3.4",".",".",".",".",".",".","1.7",".",".","."
"Intro Envir Remote Sensing","371","001","22","3.024","31.8",".","40.9","4.5","9.1","9.1",".","4.5",".",".",".",".",".",".",".","."
"","377","001","40","2.863","25.0","12.5","25.0","10.0","15.0","12.5",".",".",".",".",".",".",".",".",".","."
"","377","070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Geog Info Systems","","Course Total","41","2.863","24.4","12.2","24.4","9.8","14.6","12.2",".",".",".",".",".",".","2.4",".",".","."
"","378","001","37","3.824","78.4","13.5","2.7","5.4",".",".",".",".",".",".",".",".",".",".",".","."
"","378","070","15","3.857","80.0",".","13.3",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","378","071","10","3.100","50.0","20.0",".",".","20.0",".","10.0",".",".",".",".",".",".",".",".","."
"Introduction to Geocomputing","","Course Total","62","3.713","74.2","11.3","4.8","3.2","3.2",".","1.6",".",".",".",".",".","1.6",".",".","."
"","475","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","475","002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Geography","","Course Total","8","3.786","75.0",".",".","12.5",".",".",".",".",".",".",".",".","12.5",".",".","."
"Qualitative Strategies","500","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Urban Spatial Patterns&Thry","505","001","11","3.900","72.7","18.2",".",".",".",".",".","9.1",".",".",".",".",".",".",".","."
"Power, Place, Identity","518","001","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"Soil Geomorphology","525","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Apps of GIS in Planning","532","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Culture and Environment","537","001","14","3.542","28.6","35.7","21.4",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"Adv Quantitative Methods","560","001","16","3.900","75.0","18.8",".",".",".",".",".",".",".",".",".",".",".",".","6.3","."
"Colloq-Undergraduate Majors","565","001","30","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","572","001","16","3.731","50.0","18.8","12.5",".",".",".",".",".",".",".",".",".","18.8",".",".","."
"","572","070","20","3.750","85.0","10.0",".",".",".",".","5.0",".",".",".",".",".",".",".",".","."
"Graphic Design-Cartography","","Course Total","36","3.742","69.4","13.9","5.6",".",".",".","2.8",".",".",".",".",".","8.3",".",".","."
"Spatial Database","574","070","15","3.767","80.0",".","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Interactive Cart & Geovis","575","070","14","3.786","92.9",".",".",".",".","7.1",".",".",".",".",".",".",".",".",".","."
