"ELECTRICAL AND COMPUTER E Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"320
E C E","","","","","","","","","","","","","","","","","","","",""
"489
Honors in Research","031","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"491
Senior Design Project","047","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"506
Software Engineering","001","","10","2.900","10.0","10.0","40.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"512
Power Electronics Lab","001","","12","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".","16.7",".",".","."
"524
Introduction to Optimization","001","","19","3.611","47.4","26.3","15.8","5.3",".",".",".","5.3",".",".",".",".",".",".",".","."
"525
Introduction to Plasmas","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"528
Plasma Processng & Technlgy","001","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"532","001","","39","3.526","35.9","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".","2.6","."
"532","003","","14","3.429","35.7","14.3","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"532","004","","51","3.704","56.9","25.5","9.8","3.9",".",".",".",".",".",".",".",".","2.0",".","2.0","."
"Mtrx Mthds in Machine Learning","Course Total","","104","3.599","46.2","26.0","23.1","1.9",".",".",".",".",".",".",".",".","1.0",".","1.9","."
"533
Image Processing","001","","49","3.867","85.7","6.1","6.1",".","2.0",".",".",".",".",".",".",".",".",".",".","."
"536
Integrated Optics&Optoelect","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"548
Integrated Circuit Design","001","","14","3.179","28.6","21.4","21.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"551
Digital Sys Design & Synthesis","001","","86","3.315","22.1","38.4","24.4","7.0","4.7","1.2",".","1.2","1.2",".",".",".",".",".",".","."
"552
Intro-Computer Architecture","001","","59","3.169","25.4","18.6","27.1","22.0","6.8",".",".",".",".",".",".",".",".",".",".","."
"554
Digital Engineering Lab","001","","17","3.794","58.8","41.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"555
Digital Circuits&Components","001","","50","3.459","38.0","26.0","22.0","12.0",".",".",".",".",".",".",".",".","2.0",".",".","."
"610
Grad Seminar in ECE","001","","80","3.872","86.3","6.3","2.5","1.3",".",".","1.3","2.5",".",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","032","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","051","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","054","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","063","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","071","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","098","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","099","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","100","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","31","3.974","87.1","6.5",".",".",".",".",".","3.2",".",".",".",".",".",".","3.2","."
"702
Grad Cooperative Educ Program","001","","14","",".",".",".",".",".",".",".",".",".","92.9",".",".",".",".",".","."
"707
Mobile and Wireless Networking","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"712
Solid State Power Conversn","003","","9","4.000","88.9",".",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 125 of 420",""
