"INTEGRATED LIBERAL STUDIES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"500
ILS","","","","","","","","","","","","","","","","","","",""
"Principles-Envrnmtl Science","126
001","12","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
002","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
003","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
004","13","3.923","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
138","9","3.444","66.7","22.2",".",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","006
138","12","3.667","91.7",".",".",".",".",".","8.3",".",".",".",".",".",".",".",".","."
"","007
138","12","3.833","91.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","138
008","10","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
009","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","010
138","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
011","11","3.773","81.8","9.1",".",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","012
138","12","3.833","91.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","138
013","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","138
014","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","015
138","9","3.389","66.7","11.1","11.1",".",".",".","11.1",".",".",".",".",".",".",".",".","."
"","016
138","7","3.429","85.7",".",".",".",".",".","14.3",".",".",".",".",".",".",".",".","."
"","138
017","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CRC 1st Yr Smr: Lib Arts Educ","Course Total","168","3.830","89.3","5.4","1.2",".","1.8",".","2.4",".",".",".",".",".",".",".",".","."
"","157
001","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
002","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
003","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
004","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
005","16","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
006","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
007","13","",".",".",".",".",".",".",".",".",".","84.6","15.4",".",".",".",".","."
"","157
008","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
009","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
010","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
011","7","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
012","9","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
013","6","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
014","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","157
015","8","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","157
016","12","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Bradley Roundtable Seminar","Course Total","163","",".",".",".",".",".",".",".",".",".","98.8","1.2",".",".",".",".","."
"Critical Thinkng & Expressn","200
001","77","3.967","94.8","2.6",".","1.3",".",".",".",".",".",".",".",".","1.3",".",".","."
"W Culture:Sci,Tech,Philos I","001
201","138","3.636","42.8","41.3","13.8",".","0.7",".",".",".",".",".",".",".","0.7",".",".","0.7"
"West Culture:Lit&The Arts I","203
001","121","3.554","52.1","22.3","18.2","4.1","0.8","2.5",".",".",".",".",".",".",".",".",".","."
"W Cult:Pol,Econ&Soc Thght I","205
001","70","3.279","25.7","37.1","22.9","7.1","2.9","2.9","1.4",".",".",".",".",".",".",".",".","."
"Genres-Westrn Relig Writing","234
001","7","3.429","14.3","57.1","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Literature and Science","254
001","22","3.795","77.3","4.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Peer Mentor 1st-Yr Lib Ed Smr","338
001","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Peer Mentor Seminar","357
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
