"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"BSE","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","1","***","","","","","","","","","","","",".","",".",".",".",".",".","."
"Sophomore","","36","3.106","19.4","25.0","33.3","8.3","11.1","2.8","",".",".","",".",".","",".",".",".",".",".","."
"Junior","","100","3.289","31.0","24.0","28.0","10.0","7.0",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","270","3.322","27.4","21.9","25.6","8.9","5.2","0.4","",".",".","",".","1.9","",".",".","8.9",".",".","."
"Undergraduates","","407","3.293","27.5","22.6","27.0","9.1","6.1","0.5","",".",".","",".","1.2","",".",".","5.9",".",".","."
"Special","","4","***","","","","","","","","","","","",".","",".",".",".",".","25.0","."
"Graduate","","38","3.684","26.3","2.6",".","2.6",".",".","",".","10.5","",".",".","",".","57.9",".",".",".","."
"","Dept. Total","449","3.296","27.2","20.9","24.7","8.5","5.8","0.4","",".","0.9","",".","1.1","",".","4.9","5.3",".","0.2","."
