"CIVIL SOC & COMMUNITY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"247
CSCS","","","","","","","","","","","","","","","","","","","",""
"125
Community and Social Change","001","","62","3.589","50.0","29.0","11.3","8.1","1.6",".",".",".",".",".",".",".",".",".",".","."
"300
Nonprofit Sector: Overview","001","","58","3.868","84.5","6.9","1.7","5.2",".",".",".",".",".",".",".",".","1.7",".",".","."
"335
Communicating-Key Audiences","001","","37","3.729","59.5","21.6","10.8","2.7",".",".",".",".",".",".",".",".","5.4",".",".","."
"345
Evaluation and Planning","001","","42","3.488","47.6","21.4","14.3","14.3","2.4",".",".",".",".",".",".",".",".",".",".","."
"400
Philanthropy & Civic Engagemnt","001","","26","3.808","80.8","3.8","11.5","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"460
Civil Soc & Commnty Leadership","001","","42","3.732","83.3","4.8","4.8",".",".",".","4.8",".",".",".",".",".","2.4",".",".","."
"501","003","","32","3.953","93.8","3.1","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"501","005","","28","3.804","78.6","14.3",".","3.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","60","3.883","86.7","8.3","1.7","1.7","1.7",".",".",".",".",".",".",".",".",".",".","."
"570
Community Based Resrch & Eval","001","","34","3.926","91.2","2.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"600
Community Issues and Action","001","","23","3.826","73.9","21.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".","."
"601
Internship","001","","19","3.974","94.7","5.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","018","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"801","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"801","004","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Civil Soc & Community Research","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812
Mixed-Methods Comm Research","001","","18","3.500","27.8","55.6","11.1",".","5.6",".",".",".",".",".",".",".",".",".",".","."
"990","005","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","15","",".",".",".",".",".",".",".","86.7",".",".",".","13.3",".",".",".","."
"999","016","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"999","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
