"MARKETING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"237
MARKETNG","","","","","","","","","","","","","","","","","","",""
"","300
001","262","3.278","22.1","35.1","27.1","9.5","4.2","1.5",".",".",".",".",".",".","0.4",".",".","."
"","002
300","238","3.067","11.8","30.7","29.4","18.9","8.0","0.8","0.4",".",".",".",".",".",".",".",".","."
"","003
300","204","3.022","11.3","27.9","33.3","16.7","7.4","2.9","0.5",".",".",".",".",".",".",".",".","."
"Marketing Management","Course Total","704","3.132","15.5","31.5","29.7","14.8","6.4","1.7","0.3",".",".",".",".",".","0.1",".",".","."
"","001
305","53","3.349","17.0","41.5","35.8","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"","305
002","54","3.380","31.5","31.5","24.1","7.4","5.6",".",".",".",".",".",".",".",".",".",".","."
"","003
305","49","3.724","57.1","34.7","4.1","4.1",".",".",".",".",".",".",".",".",".",".",".","."
"Consumer Behavior","Course Total","156","3.478","34.6","35.9","21.8","5.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"","001
310","42","3.369","23.8","33.3","35.7","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","43","3.407","30.2","30.2","30.2","9.3",".",".",".",".",".",".",".",".",".",".",".","."
"","003
310","38","3.316","31.6","28.9","28.9","2.6","5.3",".","2.6",".",".",".",".",".",".",".",".","."
"","004
310","43","3.430","23.3","44.2","27.9","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Research","Course Total","166","3.383","27.1","34.3","30.7","6.0","1.2",".","0.6",".",".",".",".",".",".",".",".","."
"","335
001","55","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","335
002","62","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Brand Management & Strategy","Course Total","117","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
001","49","3.847","75.5","18.4","6.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","355
002","49","3.827","75.5","14.3","10.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing in a Digital Age","Course Total","98","3.837","75.5","16.3","8.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","365
002","45","3.611","44.4","37.8","13.3","4.4",".",".",".",".",".",".",".",".",".",".",".","."
"","365
007","20","3.425","5.0","75.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","Course Total","65","3.554","32.3","49.2","15.4","3.1",".",".",".",".",".",".",".",".",".",".",".","."
"","399
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399
107","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Reading & Rsch-Marketing","Course Total","2","***","","","","","","","","","","","","","","","",""
"Global Marketing Strategy","420
001","20","3.425","20.0","55.0","20.0",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"","421
001","26","3.942","88.5","11.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","421
002","28","3.696","71.4","3.6","17.9","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Fundamentls-Supply Chain Mgmt","Course Total","54","3.815","79.6","7.4","9.3","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","001
422","23","3.283","21.7","26.1","43.5","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"","422
002","19","3.395","21.1","42.1","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Logistics Management","Course Total","42","3.333","21.4","33.3","38.1","4.8","2.4",".",".",".",".",".",".",".",".",".",".","."
"Procurement and Supply Mgmt","001
423","17","3.594","23.5","64.7","5.9",".",".",".",".",".",".",".",".",".","5.9",".",".","."
"","425
002","37","3.324","8.1","48.6","43.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
425","30","3.300","13.3","40.0","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Channels","Course Total","67","3.313","10.4","44.8","41.8","3.0",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Pricing","430
001","26","3.423","26.9","53.8","15.4",".",".",".","3.8",".",".",".",".",".",".",".",".","."
"","460
001","44","3.364","36.4","34.1","13.6","11.4",".","2.3","2.3",".",".",".",".",".",".",".",".","."
"","460
002","32","3.581","37.5","43.8","9.4","6.3",".",".",".",".",".",".",".",".",".",".","3.1","."
"","460
003","11","3.682","54.5","27.3","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marketing Strategy","Course Total","87","3.483","39.1","36.8","12.6","8.0",".","1.1","1.1",".",".",".",".",".",".",".","1.1","."
"","640
001","12","2.875","16.7","16.7","25.0","25.0","8.3","8.3",".",".",".",".",".",".",".",".",".","."
"","640
002","16","2.667",".","25.0","6.3","37.5","25.0",".",".",".",".",".",".",".","6.3",".",".","."
"Strategic Retailing","Course Total","28","2.759","7.1","21.4","14.3","32.1","17.9","3.6",".",".",".",".",".",".","3.6",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 61 of 420"
