"HISTORY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","",""
"Amer Hist to Civil War Era","101
001","147","3.493","29.3","45.6","10.2","2.0","5.4",".",".","6.8",".",".",".",".","0.7",".",".","."
"Amer Hist-Civil War-Present","102
001","144","3.261","18.8","41.0","22.2","9.0","6.3","1.4",".",".",".",".",".",".",".","1.4",".","."
"Intro-E Asian History:China","103
001","36","3.750","61.1","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".",".","11.1","."
"Intro-E Asian History:Japan","104
001","34","3.222","11.8","29.4","29.4","5.9",".","2.9",".","17.6",".",".",".",".","2.9",".",".","."
"Hist:The Univ in the West","107
001","12","3.458","33.3","33.3","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"","109
001","138","3.639","59.4","23.9","10.1","1.4","2.9",".","1.4",".",".",".",".",".","0.7",".",".","."
"","109
002","102","3.085","17.6","25.5","22.5","24.5","6.9",".","1.0",".",".",".",".",".",".","2.0",".","."
"","109
003","44","3.739","70.5","15.9","9.1",".","4.5",".",".",".",".",".",".",".",".",".",".","."
"Intro to US History","Course Total","284","3.446","46.1","23.2","14.4","9.5","4.6",".","1.1",".",".",".",".",".","0.4","0.7",".","."
"The Ancient Mediterranean","001
110","60","3.321","15.0","36.7","28.3","6.7","1.7",".",".","11.7",".",".",".",".",".",".",".","."
"Europe & the World, 1400-1815","119
001","70","3.716","54.3","15.7","8.6","2.9","1.4",".",".","14.3",".",".",".",".",".","2.9",".","."
"Europe&Mod World 1815-On","120
001","126","3.164","19.0","30.2","24.6","10.3","7.1","3.2",".","5.6",".",".",".",".",".",".",".","."
"Intro to World History","130
001","71","3.373","29.6","40.8","11.3","7.0","2.8",".","2.8",".",".",".",".",".",".",".","5.6","."
"History of Biology","132
001","55","3.455","32.7","45.5","12.7","5.5","1.8",".","1.8",".",".",".",".",".",".",".",".","."
"Sport, Rec., & Society in U.S.","136
001","69","3.694","58.0","30.4","4.3","2.9",".",".","1.4","2.9",".",".",".",".",".",".",".","."
"Middle East-20th Century","139
001","50","3.703","52.0","10.0","4.0","6.0","2.0",".",".",".",".",".",".",".",".",".","24.0","2.0"
"History-S Asia to Present","142
001","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"Asian Am Hist:Movmnt&Dislocatn","160
001","62","3.713","72.6","9.7","11.3","1.6","1.6",".","1.6",".",".",".",".",".",".",".",".","1.6"
"","200
001","17","3.618","58.8","11.8","23.5","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"","200
002","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","003
200","15","3.607","40.0","40.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","6.7"
"","200
004","20","3.400","20.0","55.0","10.0","15.0",".",".",".",".",".",".",".",".",".",".",".","."
"","005
200","15","3.467","46.7","20.0","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"","200
006","23","3.696","56.5","26.1","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Historical Studies","Course Total","110","3.642","54.5","25.5","12.7","5.5","0.9",".",".",".",".",".",".",".",".",".",".","0.9"
"","001
201","12","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
201","36","2.944","11.1","27.8","33.3","16.7","5.6",".","5.6",".",".",".",".",".",".",".",".","."
"","004
201","42","3.451","54.8","16.7","16.7",".","2.4","4.8","2.4",".",".",".",".",".","2.4",".",".","."
"","201
005","16","3.967","87.5","6.3",".",".",".",".",".",".",".",".",".",".","6.3",".",".","."
"","201
008","13","3.654","30.8","69.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","009
201","15","3.536","33.3","33.3","26.7",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","010
201","12","3.833","91.7",".",".",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"The Historian's Craft","Course Total","146","3.430","47.3","24.7","15.8","4.1","2.7","1.4","2.1",".",".",".",".",".","2.1",".",".","."
"Islam Wrld:MidEast,500-1500","205
001","28","3.389","35.7","25.0","25.0","7.1",".","3.6",".",".",".",".",".",".",".",".","3.6","."
"The American Jewish Experience","219
001","43","3.162","11.6","32.6","11.6","16.3","7.0",".",".","18.6",".",".",".",".","2.3",".",".","."
"","221
001","47","3.513","14.9","53.2","12.8",".",".",".",".","17.0",".",".",".",".","2.1",".",".","."
"","221
002","14","3.571","57.1","14.3","21.4",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"Explorations in Amer Hist (H)","Course Total","61","3.526","24.6","44.3","14.8",".","1.6",".",".","13.1",".",".",".",".","1.6",".",".","."
"Exploration-European Hist (H)","001
223","96","3.250","16.7","37.5","26.0","9.4","2.1","1.0","1.0","3.1",".",".",".",".","2.1",".","1.0","."
"Mod Latin Am, 1898 to Present","242
001","27","3.528","37.0","11.1","3.7","14.8",".",".",".","33.3",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","28","3.467","35.7",".","14.3",".",".",".","3.6","46.4",".",".",".",".",".",".",".","."
"Intro East Asian Civilizations","255
001","18","3.735","61.1","16.7","16.7",".",".",".",".",".",".",".",".",".","5.6",".",".","."
