"MUSIC","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"660
MUSIC","","","","","","","","","","","","","","","","","","",""
"","267
120","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
135","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
163","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","267
189","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Brass","Course Total","55","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
002","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","268
004","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Percussion","Course Total","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
016","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
071","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","269
084","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","269
171","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Ensemble-String","Course Total","37","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ensemble-Guitar","270
011","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","271
101","15","3.533","33.3","46.7","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","102
271","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","271
103","14","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Musica Pract:Aural Skills 3","Course Total","44","3.682","52.3","34.1","11.4","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Music Learning and Teaching 1","001
301","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Comp Arr & Orch for Mus Teach","304
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Jazz Improvisation","331
001","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Teaching Music","337
001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pedagogy","340
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
029","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
033","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","346
062","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Repertoire","Course Total","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Wind Ensemble","40
001","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cultural Study of Music","405
001","15","3.923","73.3","13.3",".",".",".",".",".",".",".",".",".",".","13.3",".",".","."
"Concert Band","41
001","61","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"St Teach Music Gen/Instr","410
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Survey Music-Baroque Era","413
001","15","3.433","33.3","33.3","26.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"Survey Music-Classic Era","414
001","20","3.474","45.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".","5.0","."
"Survey Music-20th C","416
001","20","3.639","45.0","25.0","20.0",".",".",".",".","5.0",".",".",".",".","5.0",".",".","."
"Varsity Band","42
001","290","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Teaching Pop Inst Mus 1","420
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
001","106","4.000","99.1",".",".",".",".",".",".","0.9",".",".",".",".",".",".",".","."
"","43
002","82","3.951","90.2","9.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","43
003","76","3.987","97.4","2.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"University Band","Course Total","264","3.981","95.8","3.8",".",".",".",".",".","0.4",".",".",".",".",".",".",".","."
