"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","",""
"EDU","","","","","","","","","","","","","","","","","","","",""
"EDU","College Total","15077","3.716","69.6","11.7","5.9","2.1","2.2","0.8","0.6","2.6","0.0","2.8","",".","0.6","0.9","0.1","0.2","0.0"
"Summary by College/School","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","","P","I","NW","NR","Other"
"EDU","","Grades","GPA","","","","","","","","","","","","","","","","",""
"Freshmen","","1908","3.711","73.2","13.2","7.2","2.5","2.5","0.6","0.6",".",".",".","",".",".","0.2",".",".","0.1"
"Sophomore","","2282","3.658","70.5","13.0","7.0","3.3","3.3","1.4","0.8",".",".","0.0","",".",".","0.3","0.1","0.2","."
"Junior","","2723","3.647","69.5","13.3","6.9","2.6","2.7","0.9","1.0",".",".","2.2","",".",".","0.7","0.1",".","."
"Senior","","4487","3.693","68.6","13.5","7.0","2.3","2.3","0.9","0.6","0.1","0.0","3.9","",".",".","0.6","0.1","0.0","."
"Undergraduates","","11400","3.677","70.0","13.3","7.0","2.6","2.6","0.9","0.7","0.1","0.0","2.1","",".",".","0.5","0.1","0.0","0.0"
"Special","","332","3.665","46.1","7.2","3.9","1.2","2.1","0.9","0.3","32.5","0.3",".","",".",".","1.2","0.6","3.6","."
"Graduate","","3254","3.924","71.9","6.7","1.7","0.2","0.2","0.1",".","8.3","0.1","5.6","",".","2.6","2.1","0.0","0.2","."
"Prof Yr 1","","68","2.810","19.1","11.8","29.4","13.2","23.5","2.9",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 2","","12","3.567","83.3",".","8.3",".",".",".",".",".",".",".","",".",".",".",".",".","."
"Prof Yr 3","","5","***","","","","","","","","","",".","",".",".",".",".",".","."
"Prof Yr 4","","8","3.824","62.5",".","12.5",".",".",".",".",".",".","12.5","",".",".","12.5",".",".","."
"Professionals","","93","2.955","33.3","10.8","23.7","9.7","17.2","2.2",".",".",".","1.1","",".",".","1.1",".",".","."
"","College Total","15079","3.716","69.6","11.7","5.9","2.1","2.2","0.8","0.6","2.6","0.0","2.8","",".","0.6","0.9","0.1","0.2","0.0"
