"HISTORY","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"448
HISTORY","","","","","","","","","","","","","","","","","","","","",""
"American Legal History to 1860","261","001","","6","2.667","16.7","16.7","33.3","16.7",".",".","16.7",".",".",".",".",".",".",".",".","."
"Dimensions-Material Culture","264","001","","6","2.833","33.3","33.3",".",".","16.7",".","16.7",".",".",".",".",".",".",".",".","."
"Cen Asia: Silk Route-Afghan","265","001","","7","3.625","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","42.9","."
"US & Ltn Am:Col Era to Present","268","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277","001","","48","3.705","50.0","20.8","6.3","2.1","2.1",".",".","18.8",".",".",".",".",".",".",".","."
"Afro-Atlantic Hist 1808-Presnt","279","001","","75","3.254","22.7","28.0","24.0","6.7","6.7",".","1.3","10.7",".",".",".",".",".",".",".","."
"History at Work","300","001","","17","3.750","82.4",".","5.9",".","5.9","5.9",".",".",".",".",".",".",".",".",".","."
"History Internship Seminar","301","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"A History of Greek Civ","303","001","","72","3.403","40.3","29.2","15.3","1.4","1.4","1.4","4.2","6.9",".",".",".",".",".",".",".","."
"The Vietnam Wars","319","001","","94","3.822","44.7","13.8","4.3",".",".",".",".","34.0",".",".",".",".","3.2",".",".","."
"","335","001","","18","3.875","66.7","22.2",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"","335","002","","8","3.214","12.5","50.0",".","12.5","12.5",".",".",".",".",".",".",".","12.5",".",".","."
"Korean War to the 21st Century","","Course Total","","26","3.674","50.0","30.8",".","3.8","3.8",".",".","7.7",".",".",".",".","3.8",".",".","."
"Cultural History of Korea","340","001","","13","3.958","84.6","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"Transgender History","346","001","","20","3.769","45.0","10.0","10.0",".",".",".",".","25.0",".",".",".",".","10.0",".",".","."
"From Fascism to 1968","366","002","","40","3.790","60.0","12.5","2.5",".",".","2.5",".","22.5",".",".",".",".",".",".",".","."
"Animals in History","369","001","","8","3.563","75.0","12.5",".",".",".","12.5",".",".",".",".",".",".",".",".",".","."
"History-American Education","412","001","","41","3.707","56.1","31.7","9.8","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"History of Russia","418","001","","49","3.600","24.5","24.5","12.2",".",".",".",".","36.7",".",".",".",".","2.0",".",".","."
"Soviet Union & World,1917-1991","424","001","","78","3.485","51.3","11.5","9.0","5.1","2.6",".","3.8","14.1",".",".",".",".","2.6",".",".","."
"The History of Punishment","426","001","","45","3.487","33.3","28.9","17.8","2.2","4.4",".",".","13.3",".",".",".",".",".",".",".","."
"Law and Environment","430","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Holocaust: Hist, Memory & Educ","515","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","003","","11","3.350","36.4","27.3","9.1",".","18.2",".",".",".",".",".",".",".","9.1",".",".","."
"","600","004","","11","3.800","54.5","36.4",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"","600","005","","13","3.577","38.5","38.5","23.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","600","007","","14","3.923","78.6","14.3",".",".",".",".",".",".",".",".",".",".","7.1",".",".","."
"","600","008","","17","3.964","76.5","5.9",".",".",".",".",".",".",".",".",".",".","17.6",".",".","."
"","600","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","600","011","","10","3.500","50.0","10.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","600","012","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Seminar in History","","Course Total","","91","3.750","62.6","18.7","7.7","1.1","2.2",".",".",".",".",".",".",".","7.7",".",".","."
"Hist-Civ Rghts Movmnt in US","628","001","","13","3.318",".","53.8","30.8",".",".",".",".",".",".",".",".",".","7.7","7.7",".","."
"Honors Thesis Colloquium","680","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","076","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","","6","",".",".",".",".",".",".",".",".",".",".",".","83.3",".",".","16.7","."
"History in Global Perspective","701","001","","25","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Topics in Global History","705","001","","9","3.750","44.4","44.4",".",".",".",".",".",".",".",".",".",".","11.1",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","","","Page 246 of 420"
