"ENTOMOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"355
ENTOM","","","","","","","","","","","","","","","","","","","",""
"103
Agroecology of Food and Ag","002","","15","3.467","46.7","20.0","20.0","6.7","6.7",".",".",".",".",".",".",".",".",".",".","."
"201
Insects and Human Culture","001","","107","3.393","34.6","30.8","18.7","10.3","5.6",".",".",".",".",".",".",".",".",".",".","."
"203
Introduction to Global Health","001","","53","3.802","75.5","13.2","9.4",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"299","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"302
Introduction to Entomology","001","","27","3.442","48.1","11.1","22.2","7.4","7.4",".",".","3.7",".",".",".",".",".",".",".","."
"331
Taxonomy of Mature Insects","001","","11","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"351
Principles-Econ Entomology","001","","21","3.214","38.1","19.0","19.0","14.3",".","9.5",".",".",".",".",".",".",".",".",".","."
"375
Special Topics","001","","20","3.900","90.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"450
Basic & Applied Insect Ecology","001","","29","3.714","69.0","10.3","10.3","3.4","3.4",".",".","3.4",".",".",".",".",".",".",".","."
"540
Theoretical Ecology","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"632
Ecotox: The Chemical Players","001","","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"633
Ecotox: Impacts on Individuals","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"634
Ecotox: Populatn, Comm, Ecosys","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"799
Pract-Entomology Teaching","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"801
Colloquium","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"820
Foundations of Evolution","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","001","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","19","4.000","78.9",".",".",".",".",".",".",".",".",".",".","21.1",".",".",".","."
"990","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Grad Research & Thesis","Course Total","","24","",".",".",".",".",".",".",".","50.0",".",".",".","50.0",".",".",".","."
