"LIFE SCIENCES COMMUNICATIO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"120
LSC","","","","","","","","","","","","","","","","","","",""
"","100
001","16","3.625","87.5",".",".",".","6.3",".","6.3",".",".",".",".",".",".",".",".","."
"","100
002","16","3.281","25.0","37.5","18.8","6.3","12.5",".",".",".",".",".",".",".",".",".",".","."
"","100
003","16","3.688","56.3","31.3","6.3","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
004","16","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
100","15","3.857","66.7","26.7",".",".",".",".",".",".",".",".",".",".","6.7",".",".","."
"","006
100","15","3.233","26.7","46.7","13.3",".",".","13.3",".",".",".",".",".",".",".",".",".","."
"","007
100","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
008","16","3.406","50.0","25.0","12.5","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","100
009","16","3.531","68.8","12.5","6.3","6.3",".",".","6.3",".",".",".",".",".",".",".",".","."
"","010
100","15","3.267","33.3","26.7","13.3","13.3","13.3",".",".",".",".",".",".",".",".",".",".","."
"","100
011","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","100
012","16","3.719","56.3","37.5",".","6.3",".",".",".",".",".",".",".",".",".",".",".","."
"","100
013","16","3.906","81.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","014
100","15","3.667","60.0","26.7","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","015
100","15","3.700","60.0","33.3",".",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","016
100","15","3.867","80.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Science and Storytelling","Course Total","249","3.649","62.2","23.7","6.0","2.8","2.8","0.8","1.2",".",".",".",".",".","0.4",".",".","."
"Sci&Technology Newswriting","001
111","15","2.700","26.7","20.0",".","13.3","26.7","6.7","6.7",".",".",".",".",".",".",".",".","."
"","212
001","19","3.632","52.6","26.3","15.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","212
002","20","3.825","75.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","212
003","16","3.531","81.3","6.3",".",".",".","6.3","6.3",".",".",".",".",".",".",".",".","."
"Intro-Scientific Communication","Course Total","55","3.673","69.1","16.4","9.1","1.8",".","1.8","1.8",".",".",".",".",".",".",".",".","."
"Comm in Life Sci Industries","001
270","39","3.577","64.1","10.3","10.3","7.7","7.7",".",".",".",".",".",".",".",".",".",".","."
"Intro to Digital Video Prod","314
001","26","3.192","26.9","19.2","30.8","11.5","11.5",".",".",".",".",".",".",".",".",".",".","."
"Print&Electronic Media Dsgn","332
001","22","3.955","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Information Radio","360
001","17","3.765","70.6","11.8","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Coord Intrnshp/Cooprtv Educ","399
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Social Media for Life Sciences","432
001","32","3.609","65.6","21.9","6.3",".",".","3.1","3.1",".",".",".",".",".",".",".",".","."
"Contemp Comm Tech&Soc Effct","440
001","19","3.368","36.8","31.6","15.8",".","15.8",".",".",".",".",".",".",".",".",".",".","."
"Photography for the Sciences","450
001","26","3.660","53.8","23.1","15.4","3.8",".",".",".","3.8",".",".",".",".",".",".",".","."
"Web Design for the Sciences","532
001","25","3.700","60.0","28.0","8.0",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Risk Communication","625
001","35","3.786","62.9","34.3",".","2.9",".",".",".",".",".",".",".",".",".",".",".","."
"Case Studies-Com of Sci & Tech","640
001","16","3.656","75.0","18.8",".",".",".",".","6.3",".",".",".",".",".",".",".",".","."
"","699
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Problems","Course Total","2","***","","","","","","","","","","","","","","","",""
"Topics in Mass Communication","880
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Colloquium:Mass Communicatn","901
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Public Opinion-Life Sci Issues","001
902","15","3.800","66.7","26.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
025","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","","Page 5 of 420"
