"","990
081","2","***","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"","990
094","1","***","","","","","","","","","","","","",".",".","",".","","",".",".",".","."
"Research","Course Total","10","",".",".",".",".",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Advanced Independent Study","999
024","11","4.000","100.0",".",".",".",".","",".","",".",".","",".",".",".","",".","","",".",".",".","."
"S&A PHM
732","Dept. Total","178","3.563","51.7","22.5","14.0","3.9","2.2","",".","",".","5.6","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","6","3.923","83.3","16.7",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","6","3.923","83.3","16.7",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","32","4.000","68.8",".",".",".",".","",".","",".","31.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","127","3.504","40.9","30.7","19.7","5.5","3.1","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","7","4.000","100.0",".",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","5","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Prof Yr 4","","2","***","","","","","","","","","","","","",".","",".","",".","",".",".",".","."
"Professionals","","141","3.528","46.8","27.7","17.7","5.0","2.8","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","179","3.563","52.0","22.3","14.0","3.9","2.2","",".","",".","5.6","",".",".","",".","",".","",".",".",".","."
