"FARM & INDUSTRY SHORT COU Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"375
FISC","","","","","","","","","","","","","","","","","","",""
"Meat Animal Production I","101
001","6","3.167","50.0",".",".","33.3","16.7",".",".",".",".",".",".",".",".",".",".","."
"Ruminant Nutrition","114
001","16","2.594","12.5","12.5","6.3","18.8","50.0",".",".",".",".",".",".",".",".",".",".","."
"Meat Animal Eval & Marketing","120
001","6","2.500",".","16.7","16.7","16.7","50.0",".",".",".",".",".",".",".",".",".",".","."
"Farm Machinery","140
001","19","2.816","31.6","15.8","15.8","10.5","5.3","15.8","5.3",".",".",".",".",".",".",".",".","."
"Precision Ag Technologies","145
001","15","2.833","20.0","26.7",".","33.3","6.7","13.3",".",".",".",".",".",".",".",".",".","."
"Introduction to Plant Science","20
001","6","2.833","33.3",".","16.7",".","50.0",".",".",".",".",".",".",".",".",".",".","."
"Bus. Principles of Ag Mgmt","51
001","33","3.484","51.5","27.3","6.1",".","6.1","6.1",".",".",".",".",".",".",".",".",".","3.0"
"Agribusiness Communications","54
001","25","4.000","96.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","4.0"
"FISC 1st-Year Seminar","55
001","32","3.290","37.5","21.9","21.9","3.1","6.3","6.3",".",".",".",".",".",".",".",".",".","3.1"
"Introduction to Soils","57
001","33","3.406","48.5","18.2","12.1","12.1","3.0",".","3.0",".",".",".",".",".",".",".",".","3.0"
"Dairy Herd Management","63
001","20","3.225","15.0","45.0","15.0","20.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"PBDL: Business Start-up & Mktg","72
001","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in FISC","75
003","7","3.462","71.4",".",".","14.3","14.3",".",".",".",".",".",".",".",".",".",".","."
"FISC
375","Dept. Total","226","3.242","44.2","18.6","9.7","10.2","10.6","4.0","0.9",".",".",".",".",".",".",".",".","1.8"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"375
FISC","","","","","","","","","","","","","","","","","","",""
"Special","","226","3.242","44.2","18.6","9.7","10.2","10.6","4.0","0.9",".",".",".",".",".",".",".",".","1.8"
"","Dept. Total","226","3.242","44.2","18.6","9.7","10.2","10.6","4.0","0.9",".",".",".",".",".",".",".",".","1.8"
