"L&S","","","","","","","","","","","","","","","","","","","","",""
"PHILOSOPHY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","","",""
"PHILOS
736","Dept. Total","1902","3.436","42.1","26.1","16.1","5.8","4.5","1.4","0.8","1.2","",".",".","",".","0.3","0.8","0.2","0.7","0.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","",""
"736
PHILOS","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","","299","3.361","36.1","28.1","18.4","10.7","5.4","1.3",".",".","",".",".","",".",".",".",".",".","."
"Sophomore","","449","3.375","41.6","26.7","16.5","6.5","4.5","2.4","1.6",".","",".",".","",".",".",".",".",".","0.2"
"Junior","","481","3.478","45.1","24.9","18.5","5.0","4.4","0.8","0.6",".","",".",".","",".",".","0.4","0.2",".","."
"Senior","","572","3.463","43.5","29.0","14.7","4.0","4.9","1.2","1.0","0.3","",".",".","",".","0.5","0.5","0.2",".","."
"Undergraduates","","1801","3.428","42.3","27.2","16.8","6.0","4.7","1.4","0.9","0.1","",".",".","",".","0.2","0.3","0.1",".","0.1"
"Special","","35","3.480","14.3","11.4","11.4","2.9",".",".",".","17.1","",".",".","",".",".",".","5.7","37.1","."
"Graduate","","66","3.910","53.0","3.0","1.5","1.5",".",".",".","21.2","",".",".","",".","3.0","16.7",".",".","."
"","Dept. Total","1902","3.436","42.1","26.1","16.1","5.8","4.5","1.4","0.8","1.2","",".",".","",".","0.3","0.8","0.2","0.7","0.1"
