"ECONOMICS","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"296
ECON","","","","","","","","","","","","","","","","","","",""
"Econ Approach Current Issues","100
001","57","3.420","36.8","26.3","22.8","10.5",".","1.8",".","1.8",".",".",".",".",".",".",".","."
"","101
001","425","3.063","14.8","23.3","30.4","24.9","4.7","1.2","0.2","0.2",".",".",".",".",".","0.2",".","."
"","002
101","412","3.116","13.6","30.3","29.4","20.9","3.9","0.7","0.5",".",".",".",".",".","0.5","0.2",".","."
"","003
101","425","3.178","23.1","25.9","23.3","16.7","9.2","0.5",".","0.2",".",".",".",".","1.2",".",".","."
"","101
004","324","2.983","21.3","19.1","22.8","17.0","14.5","3.4","0.9",".",".",".",".",".","0.9",".",".","."
"Principles-Microeconomics","Course Total","1586","3.091","18.0","25.0","26.7","20.1","7.7","1.3","0.4","0.1",".",".",".",".","0.6","0.1",".","."
"","102
001","199","2.997","18.1","19.1","24.6","23.6","12.1","2.0",".",".",".",".",".",".","0.5",".",".","."
"","002
102","285","3.406","36.1","26.7","24.9","6.3","4.6","0.7",".",".",".",".",".",".","0.7",".",".","."
"","102
003","234","3.032","18.8","21.4","23.9","21.8","12.8","1.3",".",".",".",".",".",".",".",".",".","."
"Principles-Macroeconomics","Course Total","718","3.171","25.5","22.8","24.5","16.2","9.3","1.3",".",".",".",".",".",".","0.4",".",".","."
"Prin/Econ-Accelratd Treatmt","001
111","16","3.375","37.5","25.0","18.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Internship Economics","228
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","300
001","15","2.833","13.3","13.3","26.7","20.0","26.7",".",".",".",".",".",".",".",".",".",".","."
"","300
002","10","2.750","20.0","20.0",".","30.0","20.0","10.0",".",".",".",".",".",".",".",".",".","."
"","300
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Introduction to Finance","Course Total","28","2.821","14.3","17.9","17.9","25.0","21.4","3.6",".",".",".",".",".",".",".",".",".","."
"","001
301","190","3.203","25.8","24.7","26.3","12.6","9.5","1.1",".",".",".",".",".",".",".",".",".","."
"","301
002","87","3.138","23.0","17.2","41.4","10.3","4.6","2.3","1.1",".",".",".",".",".",".",".",".","."
"","301
003","157","3.212","24.8","27.4","24.8","14.6","5.1","2.5",".","0.6",".",".",".",".",".",".",".","."
"Intmed Microeconomic Theory","Course Total","434","3.193","24.9","24.2","28.8","12.9","6.9","1.8","0.2","0.2",".",".",".",".",".",".",".","."
"","302
001","193","3.230","21.2","31.1","25.4","15.0","4.1","0.5","0.5",".",".",".",".",".","2.1",".",".","."
"","002
302","187","3.070","17.6","23.5","31.6","17.1","4.8","3.7","0.5",".",".",".",".",".","1.1",".",".","."
"Intmed Macroeconomic Theory","Course Total","380","3.151","19.5","27.4","28.4","16.1","4.5","2.1","0.5",".",".",".",".",".","1.6",".",".","."
"Developmnt-Economic Thought","305
001","42","3.203","14.3","23.8","38.1","7.1","4.8",".",".","4.8",".",".",".",".",".","2.4","4.8","."
"The Real Estate Process","306
001","34","2.926","17.6","5.9","41.2","20.6","11.8","2.9",".",".",".",".",".",".",".",".",".","."
"","310
001","169","3.021","24.9","22.5","15.4","16.0","17.8","0.6","2.4",".",".",".",".",".","0.6",".",".","."
"","310
002","140","3.086","22.1","21.4","24.3","18.6","12.1","1.4",".",".",".",".",".",".",".",".",".","."
"Stats:Measrmnt in Economics","Course Total","309","3.050","23.6","22.0","19.4","17.2","15.2","1.0","1.3",".",".",".",".",".","0.3",".",".","."
"Intmed Microecon-Adv Treatment","311
001","26","3.720","65.4","15.4","11.5",".","3.8",".",".",".",".",".",".",".","3.8",".",".","."
"","320
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Investment Theory","Course Total","5","***","","","","","","","","","","","","","","","",""
"Money and Banking","330
001","126","2.972","19.0","23.8","16.7","23.0","12.7","4.8",".",".",".",".",".",".",".",".",".","."
"Environmental Economics","343
001","67","2.833","25.4","10.4","20.9","13.4","17.9","9.0","1.5","1.5",".",".",".",".",".",".",".","."
"Econ of Growing Up/Getting Old","355
001","23","3.523","47.8","17.4","17.4","13.0",".",".",".",".",".",".",".",".","4.3",".",".","."
"Economics Poverty Inequality","001
370","30","3.362","33.3","33.3","13.3","10.0","3.3","3.3",".","3.3",".",".",".",".",".",".",".","."
"Energy, Resources & Economics","001
371","22","3.295","31.8","22.7","22.7","18.2","4.5",".",".",".",".",".",".",".",".",".",".","."
"","390
001","41","3.402","29.3","43.9","17.1","7.3",".",".","2.4",".",".",".",".",".",".",".",".","."
"","390
002","7","2.714","42.9",".",".","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".","."
"","390
003","40","2.963","27.5","12.5","22.5","20.0","7.5","10.0",".",".",".",".",".",".",".",".",".","."
"Contemporary Economic Issues","Course Total","88","3.148","29.5","26.1","18.2","14.8","4.5","4.5","2.3",".",".",".",".",".",".",".",".","."
"Intro Applied Econometrics","001
400","87","3.040","21.8","19.5","20.7","23.0","13.8","1.1",".",".",".",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","Page 215 of 420",""
