"ANTHROPOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"156
ANTHRO","","","","","","","","","","","","","","","","","","",""
"","100
001","97","3.172","32.0","22.7","20.6","11.3","7.2","2.1","3.1",".",".",".",".",".",".",".","1.0","."
"","002
100","91","3.269","27.5","30.8","29.7","5.5","2.2","2.2","2.2",".",".",".",".",".",".",".",".","."
"General Anthropology","Course Total","188","3.219","29.8","26.6","25.0","8.5","4.8","2.1","2.7",".",".",".",".",".",".",".","0.5","."
"Archaeology & Prehist World","001
102","148","3.180","23.0","25.7","29.7","8.8","10.8","1.4",".","0.7",".",".",".",".",".",".",".","."
"","104
001","229","3.913","91.7","4.4","1.7","0.9","0.9",".","0.4",".",".",".",".",".",".",".",".","."
"","104
002","205","3.907","91.2","4.4","1.5","0.5","1.0","1.0",".",".",".",".",".",".",".",".","0.5","."
"","104
003","212","3.892","89.2","7.1","1.9","0.5",".","0.9","0.5",".",".",".",".",".",".",".",".","."
"","104
004","210","3.919","93.3","3.3","1.0","1.4",".","0.5","0.5",".",".",".",".",".",".",".",".","."
"Cult Anthro&Human Diversity","Course Total","856","3.908","91.4","4.8","1.5","0.8","0.5","0.6","0.4",".",".",".",".",".",".",".","0.1","."
"Principles - Biological Anthro","001
105","392","3.045","21.4","22.7","26.3","12.5","8.7","4.1","1.8",".",".",".",".",".","0.3",".",".","2.3"
"","120
001","16","3.625","68.8","6.3","6.3","18.8",".",".",".",".",".",".",".",".",".",".",".","."
"","120
002","20","3.525","55.0","20.0","5.0","15.0","5.0",".",".",".",".",".",".",".",".",".",".","."
"Fr/Soph Seminar in Anthro","Course Total","36","3.569","61.1","13.9","5.6","16.7","2.8",".",".",".",".",".",".",".",".",".",".","."
"Global Language Issues","211
211","13","3.577","46.2","23.1","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Principles of Archaeology","212
001","38","3.736","57.9","26.3","7.9","2.6",".",".",".",".",".",".",".",".",".",".","5.3","."
"Dimensions-Material Culture","264
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Cult Anthro:Thry&Ethnogrphy","300
001","33","3.758","66.7","24.2","3.0","6.1",".",".",".",".",".",".",".",".",".",".",".","."
"Intro Ling-Descript&Theoret","301
001","7","3.571","57.1","14.3","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"Human Skeletal Anatomy","303
001","7","3.143","28.6",".","57.1",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Heredity,Envr&Human Popultn","304
001","73","3.891","75.3","17.8","1.4",".",".",".",".","2.7",".",".",".",".","2.7",".",".","."
"","310
001","11","3.591","63.6","18.2",".","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"","002
310","27","3.731","59.3","22.2","14.8",".",".",".",".","3.7",".",".",".",".",".",".",".","."
"Topics in Archaeology","Course Total","38","3.689","60.5","21.1","10.5","2.6","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"Indians of North America","314
002","40","3.158","25.0","20.0","27.5","10.0","10.0","2.5",".","5.0",".",".",".",".",".",".",".","."
"Emergence of Human Culture","321
001","35","3.267","42.9","14.3","8.6","2.9","11.4","2.9","2.9","2.9",".",".",".",".","5.7",".",".","5.7"
"Topics in Ethnology","330
001","11","3.956","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","363
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","363
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intermediate Quechua","Course Total","3","***","","","","","","","","","","","","","","","",""
"Field Course in Archaeology","370
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"First Semester Yucatec Maya","376
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Evolutionary Biology","410
001","12","3.417","41.7","8.3","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Primate Behavioral Ecology","458
001","65","3.188","35.4","20.0","24.6","7.7","3.1","3.1","4.6",".",".",".",".",".",".",".",".","1.5"
"Ethnobotany","001
474","6","3.417","33.3","16.7","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
001","16","3.767","68.8","12.5","6.3","6.3",".",".",".","6.3",".",".",".",".",".",".",".","."
"","490
002","6","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Undergraduate Seminar","Course Total","22","3.786","68.2","18.2","4.5","4.5",".",".",".","4.5",".",".",".",".",".",".",".","."
"Anthropology and Education","570
001","10","3.444","40.0","20.0","20.0",".","10.0",".",".",".",".",".",".",".","10.0",".",".","."
"Primate Conservation","668
001","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681
084","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 27, 2020","","","","","","","","","","","","","","","","","","Page 171 of 420",""
