"GENETICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"412
GENETICS","","","","","","","","","","","","","","","","","","","",""
"133","001","","131","3.443","43.5","27.5","13.7","10.7","1.5","3.1",".",".",".",".",".",".",".",".",".","."
"133","002","","59","3.254","40.7","15.3","18.6","8.5","15.3","1.7",".",".",".",".",".",".",".",".",".","."
"Genetics in the News","Course Total","","190","3.384","42.6","23.7","15.3","10.0","5.8","2.6",".",".",".",".",".",".",".",".",".","."
"155","001","","55","3.918","90.9","1.8","7.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"155","002","","55","3.682","87.3","3.6",".","1.8",".","1.8","5.5",".",".",".",".",".",".",".",".","."
"Freshman Seminar in Genetics","Course Total","","110","3.800","89.1","2.7","3.6","0.9",".","0.9","2.7",".",".",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","070","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","127","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"299","144","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","12","4.000","91.7",".",".",".",".",".",".",".",".",".",".",".",".",".","8.3","."
"399
Coord Intrnshp/Cooprtv Educ","044","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"466
Principles of Genetics","001","","240","2.931","28.8","20.0","13.3","12.1","17.1","3.8","5.0",".",".",".",".",".",".",".",".","."
"467
General Genetics 1","002","","123","2.976","21.1","14.6","28.5","19.5","12.2","3.3","0.8",".",".",".",".",".",".",".",".","."
"470
Basic Cytology & Lab Procudure","001","","7","3.429","28.6","42.9","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"520
Neurogenetics","001","","57","3.582","56.1","19.3","8.8","8.8","1.8","1.8",".","1.8",".",".",".",".",".",".","1.8","."
"522
Evolution Seminar Series UG","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"527
Dev Gen for Conserv Regen","001","","35","3.929","91.4","2.9","5.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"545
Genetics Laboratory","001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"565
Human Genetics","001","","55","3.109","21.8","23.6","21.8","20.0","12.7",".",".",".",".",".",".",".",".",".",".","."
"567
Companion Research Seminar","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"570
The Female Reproductive System","001","","7","3.500","42.9","28.6","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"571
Clinical Practice I","001","","7","3.714","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"572
The Respiratory System","001","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"573
The Genitourinary System","001","","7","3.786","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"610
Quantitative Genetics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"612
Prokaryotic Molecular Biol","001","","13","3.208","23.1","23.1","30.8",".","15.4",".",".",".",".",".",".",".","7.7",".",".","."
"631
Plant Genetics","001","","38","3.566","44.7","28.9","23.7",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"662
Cancer Genetics","001","","31","3.742","71.0","6.5","22.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"681","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"699","011","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","070","","1","***","","","","","","","","","",".",".",".",".",".",".","."
