"L&S","","","","","","","","","","","","","","","","","","","","","",""
"ITALIAN (FRENCH AND ITALIAN) Section","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","","","",""
"ITALIAN
Dept. Total
508","296","3.683","60.8","18.9","11.5","1.4","2.4","0.3","",".","4.4","",".",".","",".","",".","0.3",".",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","","",""
"508
ITALIAN","","","","","","","","","","","","","","","","","","","","","",""
"Freshmen","49","3.608","55.1","18.4","22.4","2.0","2.0",".","",".",".","",".",".","",".","",".",".",".",".","."
"Sophomore","67","3.685","62.7","22.4","10.4","1.5","1.5","1.5","",".",".","",".",".","",".","",".",".",".",".","."
"Junior","65","3.644","55.4","26.2","15.4",".","3.1",".","",".",".","",".",".","",".","",".",".",".",".","."
"Senior","62","3.670","66.1","19.4","6.5","3.2","4.8",".","",".",".","",".",".","",".","",".",".",".",".","."
"Undergraduates","243","3.655","60.1","21.8","13.2","1.6","2.9","0.4","",".",".","",".",".","",".","",".",".",".",".","."
"Special","6","4.000","66.7",".",".",".",".",".","",".","33.3","",".",".","",".","",".",".",".",".","."
"Graduate","47","3.892","63.8","6.4","4.3",".",".",".","",".","23.4","",".",".","",".","",".","2.1",".",".","."
"Dept. Total","296","3.683","60.8","18.9","11.5","1.4","2.4","0.3","",".","4.4","",".",".","",".","",".","0.3",".",".","."
